Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
Red Sparrow,2018-03-02,140 min,"Action, Drama, Thriller",3 wins & 9 nominations,53.0,6.6,"191,207",tt2873282,46874505.0,"English, Russian, Hungarian",69000000.0,others
Death Wish,2018-03-02,107 min,"Action, Crime, Drama",4 nominations,31.0,6.3,"73,701",tt1137450,34017028.0,"English, Spanish",30000000.0,others
The Vanishing of Sidney Hall,2018-03-02,119 min,"Drama, Mystery, Romance",,18.0,6.8,"11,273",tt1291566,,English,0.0,others
Foxtrot,2017-09-21,113 min,Drama,21 wins & 25 nominations,88.0,7.2,"7,780",tt6896536,618883.0,"Hebrew, German",0.0,others
Pickings,2018-08-03,103 min,"Action, Crime, Drama",9 wins & 15 nominations,,5.1,"1,076",tt4789822,,English,350000.0,others
A Wrinkle in Time,2018-03-09,109 min,"Adventure, Family, Fantasy",5 wins & 16 nominations,53.0,4.2,"46,059",tt1620680,100478608.0,English,103000000.0,others
Gringo,2018-03-09,111 min,"Action, Comedy, Crime",2 nominations,46.0,6.1,"31,068",tt3721964,4969853.0,"English, Spanish, French, Yoruba",0.0,others
Thoroughbreds,2018-03-09,92 min,"Comedy, Crime, Drama",1 win & 25 nominations,75.0,6.6,"44,601",tt5649108,3072605.0,English,0.0,others
The Death of Stalin,2018-03-09,107 min,"Comedy, Drama, History",Nominated for 2 BAFTA 18 wins & 40 nominations total,88.0,7.2,"105,851",tt4686844,8047856.0,English,,others
The Leisure Seeker,2018-01-03,112 min,"Adventure, Comedy, Drama",3 wins & 11 nominations,45.0,6.7,"9,220",tt3741632,3226443.0,English,0.0,others
The Strangers: Prey at Night,2018-03-09,85 min,Horror,,48.0,5.2,"32,389",tt1285009,24586708.0,English,12500000.0,others
The Hurricane Heist,2018-03-09,103 min,"Action, Adventure, Crime",,35.0,5.1,"21,418",tt5360952,6115825.0,"American Sign , English",35000000.0,others
Tomb Raider,2018-03-16,119 min,"Action, Adventure, Fantasy",8 nominations,48.0,6.3,"218,447",tt1365519,58250803.0,"English, Cantonese, Hindi",94000000.0,others
"Love, Simon",2018-03-16,110 min,"Comedy, Drama, Romance",9 wins & 28 nominations,72.0,7.5,"118,357",tt5164432,40826341.0,"English, German, French",17000000.0,others
I Can Only Imagine,2018-03-16,110 min,"Biography, Drama, Family",6 wins & 5 nominations,30.0,7.3,"16,803",tt6450186,83482352.0,English,7000000.0,others
7 Days in Entebbe,2018-03-16,107 min,"Action, Drama, History",,49.0,5.9,"16,325",tt5466186,3326885.0,"English, German, French, Hebrew, Arabic",0.0,others
Furlough,2018-03-16,83 min,"Comedy, Drama",,,5.5,"1,988",tt5291792,8472.0,English,0.0,others
Josie,2018-03-16,100 min,"Drama, Thriller",2 wins,31.0,5.2,"3,374",tt4682780,,English,0.0,others
Flower,2018-03-16,90 min,"Comedy, Drama",1 nomination,45.0,6.0,"9,702",tt2582784,328188.0,English,,others
Pacific Rim: Uprising,2018-03-23,111 min,"Action, Adventure, Fantasy",6 nominations,44.0,5.6,"120,385",tt2557478,59874525.0,"English, Mandarin, Russian",150000000.0,others
Isle of Dogs,2018-04-13,101 min,"Animation, Adventure, Comedy",Nominated for 2 Oscars. 34 wins & 94 nominations total,82.0,7.8,"174,962",tt5104604,32015231.0,"English, Japanese",62770198.0,others
Sherlock Gnomes,2018-03-23,86 min,"Animation, Adventure, Comedy",1 win & 6 nominations,36.0,5.2,"13,063",tt2296777,43242871.0,"English, Mandarin",59000000.0,others
Unsane,2018-03-23,98 min,"Drama, Horror, Mystery",1 win & 5 nominations,63.0,6.4,"47,770",tt7153766,7732899.0,English,1500000.0,others
