Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
Never Grow Old,2019-12-27,100 min,"Drama, Western",3 wins & 3 nominations,65.0,6.0,"4,343",tt1158939,,"English, Italian",12000000.0,others
The Dirt,2019-03-22,107 min,"Biography, Comedy, Drama",1 win,39.0,7.0,"51,829",tt0800325,,English,0.0,netflix
Dragged Across Concrete,2019-03-22,159 min,"Action, Crime, Drama",5 nominations,60.0,6.9,"49,564",tt6491178,,"English, Spanish",15000000.0,others
Unicorn Store,2019-04-05,92 min,"Comedy, Drama, Fantasy",2 nominations,44.0,5.6,"19,958",tt2338454,,English,,netflix
The Haunting of Sharon Tate,2019-04-05,94 min,"Drama, Horror, Thriller",4 wins & 4 nominations,8.0,2.9,"4,218",tt7976208,,English,0.0,others
The Silence,2019-04-10,90 min,"Drama, Horror, Sci-Fi",,25.0,5.3,"47,288",tt7315484,,"English, American Sign ",0.0,others
Someone Great,2019-04-19,92 min,"Comedy, Romance",,63.0,6.1,"23,678",tt8075260,,English,0.0,netflix
I Spit on Your Grave: Deja Vu,2019-04-23,148 min,"Horror, Thriller",,,2.4,"3,066",tt4058836,,English,,others
I Trapped the Devil,2019-04-26,82 min,"Crime, Drama, Fantasy",2 nominations,47.0,4.8,"2,886",tt8708304,,English,1000000.0,others
"Extremely Wicked, Shockingly Evil and Vile",2019-05-03,110 min,"Biography, Crime, Drama",5 wins & 5 nominations,52.0,6.7,"96,807",tt2481498,,English,0.0,others
The Last Summer,2019-05-03,109 min,"Comedy, Romance",3 nominations,,5.5,"13,671",tt7957694,,English,0.0,netflix
The Professor and the Madman,2019-05-10,124 min,"Biography, Drama, History",1 nomination,27.0,7.2,"47,798",tt5932728,,English,25000000.0,others
The Professor,2019-05-17,90 min,"Comedy, Drama",1 nomination,37.0,6.7,"33,979",tt6865690,,"English, Spanish",0.0,others
The Perfection,2019-05-24,90 min,"Drama, Horror, Music",3 wins,60.0,6.2,"46,061",tt7772580,,"English, Mandarin",0.0,netflix
Always Be My Maybe,2019-05-31,101 min,"Comedy, Romance",1 win & 5 nominations,64.0,6.8,"58,354",tt7374948,,English,0.0,netflix
Changeland,2019-06-07,86 min,"Comedy, Drama",,42.0,5.7,"2,431",tt6612946,,"English, Thai",0.0,others
Murder Mystery,2019-06-14,97 min,"Action, Comedy, Crime",1 win & 6 nominations,38.0,6.0,"136,484",tt1618434,,"English, French, Latin, Spanish",24000000.0,netflix
Plus One,2019-06-14,98 min,"Comedy, Drama, Romance",1 win,65.0,6.6,"12,502",tt7645122,,English,0.0,others
Killers Anonymous,2019-09-28,95 min,"Action, Crime, Mystery",,22.0,4.1,"10,076",tt8400758,,English,0.0,others
Escape Plan: The Extractors,2019-07-02,97 min,"Action, Crime, Thriller",1 nomination,,4.4,"15,346",tt6772804,,"English, Chinese, German",3600000.0,others
Darlin',2019-07-12,100 min,"Horror, Thriller",2 nominations,49.0,4.9,"2,097",tt8396294,,English,0.0,others
Skin,2019-07-23,118 min,"Biography, Crime, Drama",1 win & 3 nominations,58.0,6.8,"17,283",tt6043142,,English,50000.0,others
The Red Sea Diving Resort,2019-07-31,129 min,"Drama, History, Thriller",,,6.6,"30,477",tt4995776,,"English, Amharic",0.0,netflix
A Score to Settle,2019-08-02,103 min,"Action, Crime, Drama",1 nomination,37.0,4.7,"6,501",tt3758162,,"English, Spanish, Italian",0.0,others
The Operative,2019-07-24,116 min,"Action, Drama, Mystery",1 win,47.0,5.8,"6,887",tt8000718,,"English, German, Persian, Hebrew, Kurdish, French",0.0,others
Gwen,2019-08-16,84 min,"Drama, History, Horror",3 wins & 16 nominations,63.0,5.7,"5,557",tt5149490,,"English, Welsh",0.0,others
Burn,2019-08-23,88 min,"Comedy, Crime, Thriller",2 wins & 1 nomination,50.0,5.7,"5,411",tt8009314,,English,0.0,others
Itsy Bitsy,2019-12-30,94 min,"Fantasy, Horror, Mystery",1 nomination,,4.7,"5,219",tt6895284,,English,0.0,others
The Fanatic,2020-08-05,88 min,"Crime, Drama, Horror",2 wins & 2 nominations,18.0,4.1,"11,631",tt7869070,,"English, Spanish",18000000.0,others
Satanic Panic,2019-09-06,85 min,"Comedy, Horror",1 win & 4 nominations,51.0,5.6,"6,311",tt8510350,,English,0.0,others
Strange But True,2019-09-06,96 min,Thriller,,55.0,5.9,"5,069",tt2866708,,English,,others
The Obituary of Tunde Johnson,2021-02-26,104 min,Drama,2 wins & 2 nominations,58.0,5.6,672,tt8815382,,English,0.0,others
Tall Girl,2019-09-13,101 min,"Comedy, Drama, Family",2 wins & 1 nomination,,5.2,"24,881",tt9252508,,English,0.0,netflix
Running with the Devil,2019-09-20,100 min,"Crime, Drama, Thriller",,42.0,5.4,"8,911",tt5792656,,"English, Spanish",0.0,others
Fractured,2019-10-11,99 min,Thriller,3 nominations,36.0,6.4,"80,500",tt4332232,,English,0.0,netflix
The Laundromat,2019-09-27,96 min,"Comedy, Crime, Drama",8 nominations,57.0,6.3,"52,590",tt5865326,,"English, Mandarin, Spanish, Russian",0.0,netflix
Prey,2022-08-05,100 min,"Action, Adventure, Drama",2 wins & 26 nominations,71.0,7.1,"202,259",tt11866324,,"English, North American Indian, French",65000000.0,netflix
10 Minutes Gone,2019-09-27,89 min,"Action, Crime, Mystery",,13.0,3.6,"4,065",tt8809652,,English,0.0,others
Dolemite Is My Name,2019-10-25,118 min,"Biography, Comedy, Drama",30 wins & 67 nominations,76.0,7.2,"62,423",tt8526872,,English,0.0,netflix
In the Tall Grass,2019-10-04,101 min,"Horror, Mystery, Sci-Fi",2 wins & 3 nominations,46.0,5.4,"58,789",tt4687108,,English,0.0,netflix
Low Tide,2019-09-05,86 min,"Drama, Thriller",2 nominations,64.0,6.3,"2,888",tt7434324,,English,0.0,others
Little Monsters,2019-10-11,93 min,"Comedy, Horror, Sci-Fi",3 wins & 10 nominations,59.0,6.3,"18,144",tt7390588,,"English, Chinese",0.0,others
The King,2019-11-01,140 min,"Biography, Drama, History",12 wins & 28 nominations,62.0,7.3,"136,144",tt7984766,,"English, French, Latin",0.0,netflix
Polaroid,2019-09-17,88 min,"Drama, Horror, Mystery",,,5.1,"14,860",tt5598292,,English,0.0,others
El Camino: A Breaking Bad Movie,2019-10-11,122 min,"Action, Crime, Drama",Nominated for 4 Primetime Emmys. 4 wins & 24 nominations total,72.0,7.3,"262,472",tt9243946,,"English, Spanish",0.0,netflix
Wounds,2019-10-18,95 min,"Drama, Horror, Mystery",,51.0,4.1,"20,185",tt5913798,,English,0.0,others
The Kill Team,2019-10-25,87 min,"Action, Biography, Drama",,60.0,6.0,"6,241",tt6196936,,English,0.0,others
The Gallows Act II,2019-10-25,99 min,"Horror, Mystery, Thriller",,,4.2,"2,179",tt7473716,,English,0.0,others
The Irishman,2019-11-27,209 min,"Biography, Crime, Drama",Nominated for 10 Oscars. 73 wins & 357 nominations total,94.0,7.8,"398,544",tt1302006,,"English, Italian, Latin, Spanish, German",159000000.0,netflix
Marriage Story,2019-12-06,137 min,"Drama, Romance",Won 1 Oscar. 128 wins & 275 nominations total,94.0,7.9,"320,493",tt7653254,,"English, Spanish",18000000.0,netflix
Let It Snow,2019-11-08,92 min,"Comedy, Romance",1 nomination,51.0,5.8,"23,410",tt1950235,,English,0.0,netflix
Klaus,2019-11-15,96 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 11 wins & 26 nominations total,65.0,8.2,"163,581",tt4729430,,"English, Saami",0.0,netflix
Noelle,2019-11-12,100 min,"Adventure, Comedy, Family",1 win,48.0,6.3,"24,065",tt5097410,,"English, American Sign ",0.0,others
The Report,2019-11-15,119 min,"Biography, Crime, Drama",4 wins & 13 nominations,66.0,7.2,"45,910",tt8236336,,English,0.0,others
The Two Popes,2019-12-20,125 min,"Biography, Comedy, Drama",Nominated for 3 Oscars. 11 wins & 57 nominations total,75.0,7.6,"127,201",tt8404614,,"English, Spanish, Italian, Latin, Portuguese, French, German",0.0,netflix
The Aeronauts,2019-12-20,100 min,"Action, Adventure, Drama",11 nominations,60.0,6.6,"34,916",tt6141246,,"English, French, Latin",40000000.0,others
A Million Little Pieces,2019-12-06,113 min,Drama,,45.0,6.2,"3,619",tt0427543,,English,0.0,others
Daniel Isn't Real,2019-12-06,100 min,"Drama, Fantasy, Horror",5 wins & 4 nominations,61.0,6.1,"9,251",tt8745960,,English,0.0,others
Trauma Center,2019-12-06,87 min,"Action, Thriller",,,4.0,"11,449",tt9625664,,"English, Spanish",0.0,others
6 Underground,2019-12-13,128 min,"Action, Thriller",2 wins & 12 nominations,41.0,6.1,"183,119",tt8106534,,"English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French",150000000.0,netflix
Live from the Red Carpet of Star Wars: The Rise of Skywalker,2019-12-16,126 min,,,,,,tt11464830,,English,,others
Togo,2019-12-20,113 min,"Adventure, Biography, Drama",1 win & 4 nominations,69.0,7.9,"51,272",tt5116302,,English,0.0,netflix
Inherit the Viper,2020-01-10,90 min,Thriller,,39.0,5.2,"1,678",tt7349896,,English,0.0,others
