Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,original_language,release_date,budget,revenue
Ben Is Back,2018,05 Dec 2018,103 min,Drama,3 wins & 13 nominations,66.0,6.7,"22,907",tt7545524,"$3,703,184",en,2018-12-05,13000000.0,12616995.0
Spider-Man: Into the Spider-Verse,2018,14 Dec 2018,117 min,"Animation, Action, Adventure",Won 1 Oscar. 82 wins & 57 nominations total,87.0,8.4,"552,354",tt4633694,"$190,241,310",en,2018-12-14,90000000.0,375540831.0
Mortal Engines,2018,14 Dec 2018,128 min,"Action, Adventure, Fantasy",3 wins & 2 nominations,44.0,6.1,"129,877",tt1571234,"$15,951,040",en,2018-11-27,100000000.0,83869818.0
The Mule,2018,14 Dec 2018,116 min,"Crime, Drama, Thriller",1 win & 10 nominations,58.0,7.0,"141,580",tt7959026,"$103,804,407",en,2018-12-14,50000000.0,174804407.0
The Mule,2018,14 Dec 2018,116 min,"Crime, Drama, Thriller",1 win & 10 nominations,58.0,7.0,"141,580",tt7959026,"$103,804,407",en,2020-04-11,0.0,0.0
The Mule,2018,14 Dec 2018,116 min,"Crime, Drama, Thriller",1 win & 10 nominations,58.0,7.0,"141,580",tt7959026,"$103,804,407",en,2020-04-11,0.0,0.0
The Mule,2018,14 Dec 2018,116 min,"Crime, Drama, Thriller",1 win & 10 nominations,58.0,7.0,"141,580",tt7959026,"$103,804,407",en,2020-04-11,0.0,0.0
If Beale Street Could Talk,2018,25 Dec 2018,119 min,"Drama, Romance",Won 1 Oscar. 107 wins & 191 nominations total,87.0,7.1,"50,382",tt7125860,"$14,915,773",en,2018-12-14,12000000.0,20572691.0
Mary Poppins Returns,2018,19 Dec 2018,130 min,"Adventure, Comedy, Family",Nominated for 4 Oscars. 23 wins & 112 nominations total,66.0,6.7,"90,625",tt5028340,"$171,958,438",en,2018-12-13,130000000.0,348807090.0
Aquaman,2018,21 Dec 2018,143 min,"Action, Adventure, Fantasy",2 wins & 38 nominations,55.0,6.8,"485,891",tt1477834,"$335,104,314",en,2018-12-07,160000000.0,1148528393.0
Bumblebee,2018,21 Dec 2018,114 min,"Action, Adventure, Sci-Fi",2 wins & 13 nominations,66.0,6.7,"171,500",tt4701182,"$127,195,589",en,2018-12-15,135000000.0,467989645.0
Welcome to Marwen,2018,21 Dec 2018,116 min,"Biography, Comedy, Drama",2 wins & 8 nominations,40.0,6.2,"24,751",tt3289724,"$10,763,520",en,2018-12-21,39000000.0,12780692.0
Second Act,2018,21 Dec 2018,103 min,"Comedy, Drama, Romance",2 wins & 1 nomination,46.0,5.8,"28,673",tt2126357,"$39,282,227",en,2018-11-22,16000000.0,72282227.0
Cold War,2018,08 Jun 2018,89 min,"Drama, Music, Romance",Nominated for 3 Oscars. 50 wins & 127 nominations total,90.0,7.5,"58,729",tt6543652,"$4,580,048",pl,2018-06-08,4954500.0,18754051.0
Sherlock Holmes: A Game of Shadows,2011,16 Dec 2011,129 min,"Action, Adventure, Mystery",3 wins & 11 nominations,48.0,7.4,"463,400",tt1515091,"$186,848,418",,,,
Vice,2018,25 Dec 2018,132 min,"Biography, Comedy, Drama",Won 1 Oscar. 35 wins & 139 nominations total,61.0,7.2,"152,458",tt6266538,"$47,836,282",en,2018-12-25,60000000.0,76073488.0
Vice,2018,25 Dec 2018,132 min,"Biography, Comedy, Drama",Won 1 Oscar. 35 wins & 139 nominations total,61.0,7.2,"152,458",tt6266538,"$47,836,282",en,2018-01-01,0.0,0.0
On the Basis of Sex,2018,11 Jan 2019,120 min,"Biography, Drama",4 wins & 12 nominations,59.0,7.1,"35,843",tt4669788,"$24,704,837",en,2018-12-25,20000000.0,38673750.0
Destroyer,2018,27 Dec 2018,121 min,"Action, Crime, Drama",3 wins & 20 nominations,62.0,6.2,"30,499",tt7137380,"$1,533,324",en,2018-12-25,9000000.0,0.0
Black Mirror: Bandersnatch,2018,28 Dec 2018,90 min,"Drama, Fantasy, Mystery",Won 1 Primetime Emmy. 5 wins & 10 nominations total,,7.1,"129,427",tt9495224,,en,2018-12-28,0.0,0.0
Escape Room,2019,04 Jan 2019,99 min,"Action, Adventure, Horror",1 win & 7 nominations,48.0,6.4,"127,885",tt5886046,"$57,005,601",en,2019-01-03,9000000.0,155712077.0
Rust Creek,2018,04 Jan 2019,108 min,"Crime, Drama, Thriller",9 wins,59.0,5.9,"12,284",tt6610158,,en,2019-01-04,750000.0,0.0
American Hangman,2019,04 Jan 2019,99 min,Thriller,1 nomination,38.0,5.9,"3,635",tt8975028,,en,2019-01-04,0.0,0.0
A Dog's Way Home,2019,11 Jan 2019,96 min,"Adventure, Drama, Family",2 wins,50.0,6.7,"18,840",tt7616798,"$42,004,346",en,2019-01-10,18000000.0,17643857.0
The Upside,2017,11 Jan 2019,126 min,"Comedy, Drama",2 wins & 3 nominations,46.0,7.0,"58,347",tt1987680,"$108,252,517",en,2019-01-10,37500000.0,111353135.0
Replicas,2018,11 Jan 2019,107 min,"Drama, Sci-Fi, Thriller",1 nomination,19.0,5.4,"39,888",tt4154916,"$4,046,429",en,2018-10-25,30000000.0,8100000.0
After Darkness,2014,15 Jan 2019,98 min,"Drama, Sci-Fi, Thriller",,,3.7,"1,170",tt2728784,,en,2019-01-15,0.0,0.0
Glass,2019,18 Jan 2019,129 min,"Drama, Horror, Sci-Fi",2 wins & 15 nominations,43.0,6.6,"251,081",tt6823368,"$111,048,468",en,2019-01-16,20000000.0,246941965.0
Close,2019,18 Jan 2019,94 min,"Action, Drama, Thriller",1 nomination,51.0,5.7,"25,739",tt5316540,,fr,2022-11-01,0.0,3129968.0
Close,2019,18 Jan 2019,94 min,"Action, Drama, Thriller",1 nomination,51.0,5.7,"25,739",tt5316540,,en,2019-01-18,0.0,0.0
Close,2019,18 Jan 2019,94 min,"Action, Drama, Thriller",1 nomination,51.0,5.7,"25,739",tt5316540,,en,2021-04-23,0.0,0.0
Close,2019,18 Jan 2019,94 min,"Action, Drama, Thriller",1 nomination,51.0,5.7,"25,739",tt5316540,,en,2020-12-17,0.0,0.0
The Standoff at Sparrow Creek,2018,18 Jan 2019,88 min,"Crime, Drama, Thriller",1 win & 1 nomination,62.0,6.1,"4,299",tt5304996,,en,2019-01-18,450000.0,0.0
The Final Wish,2018,24 Jan 2019,95 min,Horror,,,4.3,"6,857",tt9109306,"$25,183",en,2019-01-24,0.0,0.0
The Kid Who Would Be King,2019,25 Jan 2019,120 min,"Action, Adventure, Family",2 wins & 4 nominations,66.0,6.1,"17,580",tt6811018,"$16,790,790",en,2019-01-16,59000000.0,32140970.0
Serenity,2005,30 Sep 2005,119 min,"Action, Adventure, Sci-Fi",9 wins & 10 nominations,74.0,7.8,"299,033",tt0379786,"$25,514,517",en,2019-01-24,25000000.0,14454622.0
Serenity,2005,30 Sep 2005,119 min,"Action, Adventure, Sci-Fi",9 wins & 10 nominations,74.0,7.8,"299,033",tt0379786,"$25,514,517",pt,2020-08-22,0.0,0.0
Serenity,2005,30 Sep 2005,119 min,"Action, Adventure, Sci-Fi",9 wins & 10 nominations,74.0,7.8,"299,033",tt0379786,"$25,514,517",pt,2020-08-22,0.0,0.0
I Am Mother,2019,07 Jun 2019,113 min,"Drama, Mystery, Sci-Fi",4 wins & 6 nominations,64.0,6.7,"93,924",tt6292852,,en,2019-06-07,0.0,643593.0
The Vast of Night,2019,29 May 2020,91 min,"Drama, Mystery, Sci-Fi",12 wins & 44 nominations,84.0,6.7,"41,055",tt6803046,,en,2019-06-01,0.0,0.0
Miss Bala,2019,01 Feb 2019,104 min,"Action, Crime, Drama",,41.0,5.8,"11,895",tt5941692,"$15,006,824",en,2019-02-01,15000000.0,15200000.0
Velvet Buzzsaw,2019,01 Feb 2019,113 min,"Horror, Mystery, Thriller",1 win & 3 nominations,61.0,5.7,"63,041",tt7043012,,en,2019-02-01,21000000.0,0.0
Piercing,2018,01 Feb 2019,81 min,"Horror, Mystery, Thriller",4 wins & 8 nominations,63.0,5.5,"8,085",tt6516314,"$15,856",en,2018-12-13,0.0,0.0
Piercing,2018,01 Feb 2019,81 min,"Horror, Mystery, Thriller",4 wins & 8 nominations,63.0,5.5,"8,085",tt6516314,"$15,856",en,2018-12-13,0.0,0.0
The Lego Movie 2: The Second Part,2019,08 Feb 2019,107 min,"Animation, Action, Adventure",1 win & 16 nominations,65.0,6.6,"69,831",tt3513498,"$105,956,290",en,2019-02-06,99000000.0,192456290.0
What Men Want,2019,08 Feb 2019,117 min,"Comedy, Fantasy, Romance",1 win,49.0,5.3,"28,735",tt7634968,"$54,611,903",en,2019-02-08,20000000.0,69766483.0
What Men Want,2019,08 Feb 2019,117 min,"Comedy, Fantasy, Romance",1 win,49.0,5.3,"28,735",tt7634968,"$54,611,903",cs,2018-09-20,0.0,0.0
Cold Pursuit,2019,08 Feb 2019,119 min,"Action, Comedy, Crime",3 nominations,57.0,6.2,"71,886",tt5719748,"$32,138,862",en,2019-02-07,60000000.0,76419755.0
High Flying Bird,2019,08 Feb 2019,90 min,"Drama, Sport",7 nominations,78.0,6.2,"8,915",tt8128188,,en,2019-01-27,0.0,0.0
The Prodigy,2019,08 Feb 2019,92 min,"Fantasy, Horror, Mystery",1 win & 1 nomination,45.0,5.9,"27,203",tt4504044,"$14,856,291",en,2019-02-06,6000000.0,21150265.0
Isn't It Romantic,2019,13 Feb 2019,89 min,"Comedy, Fantasy, Musical",1 win & 10 nominations,60.0,5.9,"71,456",tt2452244,"$48,791,187",en,2019-02-13,0.0,0.0
Happy Death Day 2U,2019,13 Feb 2019,100 min,"Comedy, Horror, Mystery",4 nominations,57.0,6.2,"78,223",tt8155288,"$28,148,130",en,2019-02-13,9000000.0,25327500.0
Alita: Battle Angel,2019,14 Feb 2019,122 min,"Action, Adventure, Sci-Fi",10 wins & 25 nominations,53.0,7.3,"276,053",tt0437086,"$85,838,210",en,2019-01-31,170000000.0,404980543.0
How to Train Your Dragon: The Hidden World,2019,22 Feb 2019,104 min,"Animation, Action, Adventure",Nominated for 1 Oscar. 5 wins & 65 nominations total,71.0,7.4,"135,406",tt2386490,"$160,945,505",en,2019-01-03,129000000.0,524580592.0
Fighting with My Family,2019,22 Feb 2019,108 min,"Biography, Comedy, Drama",10 wins & 5 nominations,68.0,7.1,"83,517",tt6513120,"$22,958,886",en,2019-02-14,11000000.0,39055536.0
Greta,2018,01 Mar 2019,98 min,"Drama, Mystery, Thriller",2 wins & 4 nominations,54.0,6.0,"35,338",tt2639336,"$10,532,219",en,2018-09-06,0.0,0.0
Greta,2018,01 Mar 2019,98 min,"Drama, Mystery, Thriller",2 wins & 4 nominations,54.0,6.0,"35,338",tt2639336,"$10,532,219",pt,2019-10-10,0.0,0.0
Greta,2018,01 Mar 2019,98 min,"Drama, Mystery, Thriller",2 wins & 4 nominations,54.0,6.0,"35,338",tt2639336,"$10,532,219",en,2021-04-09,600.0,0.0
Greta,2018,01 Mar 2019,98 min,"Drama, Mystery, Thriller",2 wins & 4 nominations,54.0,6.0,"35,338",tt2639336,"$10,532,219",en,2019-08-27,0.0,0.0
Triple Frontier,2019,13 Mar 2019,125 min,"Action, Thriller",3 nominations,61.0,6.4,"134,346",tt1488606,,en,2019-03-06,0.0,0.0
Captain Marvel,2019,08 Mar 2019,123 min,"Action, Adventure, Sci-Fi",9 wins & 56 nominations,64.0,6.8,"573,246",tt4154664,"$426,829,839",en,2019-03-06,152000000.0,1131416446.0
The Kid,1921,06 Feb 1921,68 min,"Comedy, Drama, Family",2 wins,,8.3,"128,174",tt0012349,,en,2019-03-08,8000000.0,1561698.0
The Kid,1921,06 Feb 1921,68 min,"Comedy, Drama, Family",2 wins,,8.3,"128,174",tt0012349,,en,2018-07-27,0.0,0.0
The Kid,1921,06 Feb 1921,68 min,"Comedy, Drama, Family",2 wins,,8.3,"128,174",tt0012349,,en,2018-07-27,0.0,0.0
The Kid,1921,06 Feb 1921,68 min,"Comedy, Drama, Family",2 wins,,8.3,"128,174",tt0012349,,en,2020-12-15,30.0,0.0
Wonder Park,2019,15 Mar 2019,85 min,"Animation, Adventure, Comedy",2 nominations,45.0,5.8,"12,228",tt6428676,"$45,216,793",en,2019-03-13,100000000.0,119559110.0
Captive State,2019,15 Mar 2019,109 min,"Action, Horror, Sci-Fi",2 nominations,54.0,6.0,"55,427",tt5968394,"$5,958,315",en,2019-03-15,25000000.0,8808611.0
Nancy Drew and the Hidden Staircase,2019,26 Mar 2019,89 min,"Comedy, Crime, Drama",1 nomination,55.0,5.7,"5,075",tt8323104,"$623,088",en,2019-03-15,0.0,0.0
The Aftermath,2019,15 Mar 2019,108 min,"Drama, Romance, War",1 nomination,43.0,6.3,"22,097",tt5977276,"$1,618,497",en,2019-03-01,0.0,9215591.0
The Aftermath,2019,15 Mar 2019,108 min,"Drama, Romance, War",1 nomination,43.0,6.3,"22,097",tt5977276,"$1,618,497",pt,2021-02-01,0.0,0.0
The Aftermath,2019,15 Mar 2019,108 min,"Drama, Romance, War",1 nomination,43.0,6.3,"22,097",tt5977276,"$1,618,497",en,2021-12-14,0.0,0.0
Five Feet Apart,2019,15 Mar 2019,116 min,"Drama, Romance",3 wins & 8 nominations,53.0,7.2,"72,179",tt6472976,"$45,729,221",en,2019-03-14,7000000.0,92600000.0
The Highwaymen,2019,29 Mar 2019,132 min,"Biography, Crime, Drama",3 nominations,58.0,6.9,"94,513",tt1860242,,en,2019-03-15,49000000.0,0.0
Red 11,2018,10 Aug 2018,86 min,"Horror, Sci-Fi, Thriller",1 nomination,,4.9,484,tt7837402,,en,2019-03-15,7000.0,0.0
Never Grow Old,2019,27 Dec 2019,100 min,"Drama, Western",3 wins & 3 nominations,65.0,6.0,"4,343",tt1158939,,en,2019-03-15,12000000.0,106796.0
Triple Threat,2019,22 Mar 2019,96 min,"Action, Thriller",,60.0,5.6,"11,790",tt6643972,"$76,289",en,2019-03-19,10000000.0,0.0
Triple Threat,2019,22 Mar 2019,96 min,"Action, Thriller",,60.0,5.6,"11,790",tt6643972,"$76,289",en,2020-10-11,0.0,0.0
Us,2019,22 Mar 2019,116 min,"Horror, Mystery, Thriller",85 wins & 132 nominations,81.0,6.8,"310,670",tt6857112,"$175,084,580",en,2019-03-14,20000000.0,256067149.0
Us,2019,22 Mar 2019,116 min,"Horror, Mystery, Thriller",85 wins & 132 nominations,81.0,6.8,"310,670",tt6857112,"$175,084,580",cr,2019-11-22,0.0,0.0
Us,2019,22 Mar 2019,116 min,"Horror, Mystery, Thriller",85 wins & 132 nominations,81.0,6.8,"310,670",tt6857112,"$175,084,580",en,2020-01-01,0.0,0.0
Hotel Mumbai,2018,29 Mar 2019,123 min,"Action, Drama, History",9 wins & 27 nominations,62.0,7.6,"66,401",tt5461944,"$9,651,611",en,2019-03-14,0.0,16872691.0
The Dirt,2019,22 Mar 2019,107 min,"Biography, Comedy, Drama",1 win,39.0,7.0,"51,829",tt0800325,,en,2019-03-22,0.0,0.0
Dragged Across Concrete,2018,22 Mar 2019,159 min,"Action, Crime, Drama",5 nominations,60.0,6.9,"49,564",tt6491178,,en,2018-09-03,15000000.0,660132.0
Dumbo,1941,31 Oct 1941,64 min,"Animation, Adventure, Drama",Won 1 Oscar. 5 wins & 1 nomination total,96.0,7.2,"135,495",tt0033563,,en,2019-03-27,170000000.0,353284621.0
The Beach Bum,2019,29 Mar 2019,95 min,Comedy,1 win & 7 nominations,55.0,5.5,"23,412",tt6511932,"$3,502,600",en,2019-03-21,5000000.0,4554065.0
Unplanned,2019,29 Mar 2019,109 min,"Biography, Drama",6 wins & 3 nominations,10.0,5.5,"14,232",tt9024106,"$19,005,109",en,2019-03-21,6000000.0,0.0
Shazam!,2019,05 Apr 2019,132 min,"Action, Adventure, Comedy",28 nominations,71.0,7.0,"351,832",tt0448115,"$140,480,049",en,2019-03-29,80000000.0,366080049.0
Pet Sematary,1989,21 Apr 1989,103 min,"Fantasy, Horror, Thriller",1 win & 6 nominations,38.0,6.5,"108,205",tt0098084,"$57,469,467",en,2019-04-04,21000000.0,113118226.0
The Best of Enemies,2019,05 Apr 2019,133 min,"Biography, Drama, History",5 nominations,49.0,7.3,"17,864",tt4807408,"$10,205,616",en,2019-04-05,10000000.0,0.0
High Life,2018,12 Apr 2019,113 min,"Adventure, Drama, Horror",5 wins & 25 nominations,78.0,5.8,"37,656",tt4827558,"$1,225,852",en,2018-09-26,8933400.0,2133033.0
Unicorn Store,2017,05 Apr 2019,92 min,"Comedy, Drama, Fantasy",2 nominations,44.0,5.6,"19,958",tt2338454,,,,,
The Haunting of Sharon Tate,2019,05 Apr 2019,94 min,"Drama, Horror, Thriller",4 wins & 4 nominations,8.0,2.9,"4,218",tt7976208,,en,2019-04-05,0.0,68904.0
The Wind,2018,05 Apr 2019,88 min,"Horror, Mystery, Thriller",1 win & 6 nominations,66.0,5.6,"8,777",tt8426594,"$28,252",en,2019-06-06,0.0,0.0
The Wind,2018,05 Apr 2019,88 min,"Horror, Mystery, Thriller",1 win & 6 nominations,66.0,5.6,"8,777",tt8426594,"$28,252",ru,2018-08-12,0.0,0.0
The Wind,2018,05 Apr 2019,88 min,"Horror, Mystery, Thriller",1 win & 6 nominations,66.0,5.6,"8,777",tt8426594,"$28,252",en,2020-01-01,0.0,0.0
The Silence,2019,10 Apr 2019,90 min,"Drama, Horror, Sci-Fi",,25.0,5.3,"47,288",tt7315484,,en,2019-05-16,0.0,2325977.0
The Silence,2019,10 Apr 2019,90 min,"Drama, Horror, Sci-Fi",,25.0,5.3,"47,288",tt7315484,,pt,2020-06-15,0.0,0.0
The Silence,2019,10 Apr 2019,90 min,"Drama, Horror, Sci-Fi",,25.0,5.3,"47,288",tt7315484,,pt,2020-09-08,0.0,0.0
The Silence,2019,10 Apr 2019,90 min,"Drama, Horror, Sci-Fi",,25.0,5.3,"47,288",tt7315484,,sk,2021-08-29,0.0,0.0
Hellboy,2004,02 Apr 2004,122 min,"Action, Adventure, Fantasy",3 wins & 23 nominations,72.0,6.8,"336,246",tt0167190,"$59,623,958",en,2019-04-10,50000000.0,55065289.0
Little Miss Sunshine,2006,18 Aug 2006,101 min,"Comedy, Drama",Won 2 Oscars. 72 wins & 112 nominations total,80.0,7.8,"490,125",tt0449059,"$59,891,098",,,,
Missing Link,2019,12 Apr 2019,93 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 5 wins & 44 nominations total,68.0,6.7,"27,341",tt6348138,"$16,649,539",en,2019-04-04,100000000.0,26565710.0
After,2019,12 Apr 2019,105 min,"Drama, Romance",4 wins,30.0,5.3,"58,284",tt4126476,"$12,138,565",en,2019-04-11,14000000.0,69497587.0
After,2019,12 Apr 2019,105 min,"Drama, Romance",4 wins,30.0,5.3,"58,284",tt4126476,"$12,138,565",nl,2018-09-29,0.0,0.0
After,2019,12 Apr 2019,105 min,"Drama, Romance",4 wins,30.0,5.3,"58,284",tt4126476,"$12,138,565",cs,2018-05-03,0.0,0.0
Her Smell,2018,10 May 2019,136 min,"Drama, Music",4 wins & 30 nominations,70.0,6.0,"7,652",tt7942742,"$255,599",en,2019-04-12,0.0,0.0
Breakthrough,2019,17 Apr 2019,116 min,"Biography, Drama",Nominated for 1 Oscar. 2 wins & 11 nominations total,46.0,6.2,"10,317",tt7083526,"$40,713,082",en,2019-04-10,0.0,0.0
Breakthrough,2019,17 Apr 2019,116 min,"Biography, Drama",Nominated for 1 Oscar. 2 wins & 11 nominations total,46.0,6.2,"10,317",tt7083526,"$40,713,082",en,2022-05-19,0.0,0.0
Breakthrough,2019,17 Apr 2019,116 min,"Biography, Drama",Nominated for 1 Oscar. 2 wins & 11 nominations total,46.0,6.2,"10,317",tt7083526,"$40,713,082",sl,2019-10-17,0.0,0.0
Breakthrough,2019,17 Apr 2019,116 min,"Biography, Drama",Nominated for 1 Oscar. 2 wins & 11 nominations total,46.0,6.2,"10,317",tt7083526,"$40,713,082",sl,2019-10-17,0.0,0.0
Breakthrough,2019,17 Apr 2019,116 min,"Biography, Drama",Nominated for 1 Oscar. 2 wins & 11 nominations total,46.0,6.2,"10,317",tt7083526,"$40,713,082",sl,2019-10-17,0.0,0.0
Breakthrough,2019,17 Apr 2019,116 min,"Biography, Drama",Nominated for 1 Oscar. 2 wins & 11 nominations total,46.0,6.2,"10,317",tt7083526,"$40,713,082",zh,2019-12-27,0.0,0.0
Penguins,2019,17 Apr 2019,76 min,"Documentary, Family",1 win & 1 nomination,69.0,7.1,"1,756",tt8080302,"$7,699,452",en,2019-04-17,0.0,0.0
The Curse of La Llorona,2019,19 Apr 2019,93 min,"Horror, Mystery, Thriller",1 win & 7 nominations,41.0,5.2,"52,558",tt4913966,"$54,733,739",en,2019-04-17,9000000.0,122033739.0
Under the Silver Lake,2018,19 Apr 2019,139 min,"Crime, Drama, Mystery",3 wins & 10 nominations,60.0,6.5,"45,318",tt5691670,"$46,083",en,2018-06-21,8500000.0,2053469.0
Fast Color,2018,19 Apr 2019,100 min,"Drama, Sci-Fi, Thriller",1 win & 7 nominations,64.0,6.1,"6,648",tt6418778,"$76,916",en,2019-03-29,0.0,76916.0
Someone Great,2019,19 Apr 2019,92 min,"Comedy, Romance",,63.0,6.1,"23,678",tt8075260,,en,2019-04-19,0.0,0.0
I Spit on Your Grave: Deja Vu,2019,23 Apr 2019,148 min,"Horror, Thriller",,,2.4,"3,066",tt4058836,,,,,
Avengers: Endgame,2019,26 Apr 2019,181 min,"Action, Adventure, Drama",Nominated for 1 Oscar. 70 wins & 133 nominations total,78.0,8.4,"1,162,856",tt4154796,"$858,373,000",en,2019-04-24,356000000.0,2799439100.0
I Trapped the Devil,2019,26 Apr 2019,82 min,"Crime, Drama, Fantasy",2 nominations,47.0,4.8,"2,886",tt8708304,,en,2019-04-26,1000000.0,0.0
Body at Brighton Rock,2019,26 Apr 2019,87 min,"Comedy, Drama, Fantasy",2 nominations,53.0,4.8,"2,381",tt7942746,"$5,123",en,2019-03-23,0.0,0.0
Buffaloed,2019,01 Jun 2020,95 min,"Comedy, Drama",1 win,61.0,6.2,"6,577",tt8647310,"$29,118",en,2020-02-14,0.0,29118.0
Long Shot,2019,03 May 2019,125 min,"Comedy, Romance",5 wins & 13 nominations,67.0,6.8,"114,267",tt2139881,"$30,316,271",en,2019-05-02,40000000.0,0.0
Long Shot,2019,03 May 2019,125 min,"Comedy, Romance",5 wins & 13 nominations,67.0,6.8,"114,267",tt2139881,"$30,316,271",ru,2021-06-26,0.0,0.0
The Intruder,2019,03 May 2019,102 min,"Horror, Thriller",,39.0,5.6,"18,683",tt6722030,"$35,419,122",es,2021-07-30,0.0,0.0
The Intruder,2019,03 May 2019,102 min,"Horror, Thriller",,39.0,5.6,"18,683",tt6722030,"$35,419,122",en,2019-05-03,0.0,25724305.0
The Intruder,2019,03 May 2019,102 min,"Horror, Thriller",,39.0,5.6,"18,683",tt6722030,"$35,419,122",en,2020-05-01,0.0,0.0
UglyDolls,2019,03 May 2019,87 min,"Animation, Adventure, Comedy",1 win & 1 nomination,39.0,5.1,"7,171",tt1946502,"$20,150,241",en,2019-05-01,45000000.0,32450241.0
"Extremely Wicked, Shockingly Evil and Vile",2019,03 May 2019,110 min,"Biography, Crime, Drama",5 wins & 5 nominations,52.0,6.7,"96,807",tt2481498,,en,2019-05-02,0.0,0.0
The Last Summer,2019,03 May 2019,109 min,"Comedy, Romance",3 nominations,,5.5,"13,619",tt7957694,,en,2019-05-03,0.0,0.0
The Last Summer,2019,03 May 2019,109 min,"Comedy, Romance",3 nominations,,5.5,"13,619",tt7957694,,en,2020-05-09,0.0,0.0
The Last Summer,2019,03 May 2019,109 min,"Comedy, Romance",3 nominations,,5.5,"13,619",tt7957694,,en,2020-05-09,0.0,0.0
Pokémon: Detective Pikachu,2019,10 May 2019,104 min,"Action, Adventure, Comedy",10 nominations,53.0,6.5,"168,450",tt5884052,"$144,174,568",,,,
The Hustle,2019,10 May 2019,93 min,"Comedy, Crime",3 wins & 3 nominations,35.0,5.4,"62,145",tt1298644,"$35,417,038",en,2019-05-09,21000000.0,97409779.0
Tolkien,2019,10 May 2019,112 min,"Biography, Drama, Romance",,48.0,6.8,"42,781",tt3361792,"$4,535,154",en,2019-05-03,20000000.0,8654322.0
Poms,2019,10 May 2019,90 min,"Comedy, Drama, Sport",2 nominations,36.0,6.1,"6,650",tt5125894,"$13,631,124",en,2019-05-09,0.0,8600192.0
The Professor and the Madman,2019,10 May 2019,124 min,"Biography, Drama, History",1 nomination,27.0,7.2,"47,798",tt5932728,,en,2019-03-07,25000000.0,4957273.0
John Wick: Chapter 3 - Parabellum,2019,17 May 2019,130 min,"Action, Crime, Thriller",18 wins & 29 nominations,73.0,7.4,"360,756",tt6146586,"$171,015,687",en,2019-05-15,55000000.0,326709727.0
A Dog's Journey,2019,17 May 2019,109 min,"Adventure, Comedy, Drama",2 nominations,43.0,7.4,"26,117",tt8385474,"$22,782,371",en,2019-05-03,0.0,2520000.0
The Sun Is Also a Star,2019,17 May 2019,100 min,"Drama, Music, Romance",2 nominations,52.0,5.9,"7,682",tt6423362,"$4,950,029",en,2019-05-16,0.0,1040000.0
The Professor,2018,17 May 2019,90 min,"Comedy, Drama",1 nomination,37.0,6.7,"33,979",tt6865690,,en,2018-05-17,0.0,3645308.0
The Souvenir,2019,07 Jun 2019,120 min,"Drama, Romance",7 wins & 37 nominations,92.0,6.4,"13,506",tt6920356,"$1,036,737",en,2019-05-17,0.0,1719157.0
The Tomorrow Man,2019,02 Aug 2019,94 min,"Drama, Romance",3 nominations,49.0,5.8,"2,036",tt8769848,"$354,103",en,2019-05-22,0.0,0.0
Aladdin,1992,25 Nov 1992,90 min,"Animation, Adventure, Comedy",Won 2 Oscars. 34 wins & 22 nominations total,86.0,8.0,"431,684",tt0103639,"$217,350,219",en,2019-05-22,183000000.0,1054304000.0
Brightburn,2019,24 May 2019,90 min,"Drama, Horror, Mystery",1 win & 2 nominations,44.0,6.1,"101,455",tt7752126,"$17,300,439",en,2019-05-09,6000000.0,33224654.0
Booksmart,2019,24 May 2019,102 min,Comedy,Nominated for 1 BAFTA Award29 wins & 62 nominations total,84.0,7.1,"123,175",tt1489887,"$22,680,962",en,2019-05-24,6000000.0,24849029.0
The Perfection,2018,24 May 2019,90 min,"Drama, Horror, Music",3 wins,60.0,6.2,"45,619",tt7772580,,en,2018-09-20,0.0,0.0
Always Be My Maybe,2019,31 May 2019,101 min,"Comedy, Romance",1 win & 5 nominations,64.0,6.8,"58,354",tt7374948,,en,2019-05-31,0.0,0.0
Godzilla: King of the Monsters,2019,31 May 2019,132 min,"Action, Adventure, Fantasy",5 wins & 14 nominations,48.0,6.0,"188,596",tt3741700,"$110,500,138",en,2019-05-29,170000000.0,386600138.0
Rocketman,2019,31 May 2019,121 min,"Biography, Drama, Musical",Won 1 Oscar. 25 wins & 86 nominations total,69.0,7.3,"180,491",tt2066051,"$96,368,160",en,2019-05-17,40000000.0,167323950.0
Ma,2019,31 May 2019,99 min,"Horror, Mystery, Thriller",1 win & 8 nominations,53.0,5.6,"55,054",tt7958736,"$45,896,028",en,2019-05-29,5000000.0,51749995.0
Ma,2019,31 May 2019,99 min,"Horror, Mystery, Thriller",1 win & 8 nominations,53.0,5.6,"55,054",tt7958736,"$45,896,028",tl,2019-07-07,0.0,0.0
Ma,2019,31 May 2019,99 min,"Horror, Mystery, Thriller",1 win & 8 nominations,53.0,5.6,"55,054",tt7958736,"$45,896,028",tl,2019-07-07,0.0,0.0
Ma,2019,31 May 2019,99 min,"Horror, Mystery, Thriller",1 win & 8 nominations,53.0,5.6,"55,054",tt7958736,"$45,896,028",es,2022-03-04,0.0,0.0
X-Men: Dark Phoenix,2019,07 Jun 2019,113 min,"Action, Adventure, Sci-Fi",13 nominations,43.0,5.7,"192,158",tt6565702,"$65,845,974",,,,
