Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,budget_min
Above Suspicion,2019,07 May 2021,104 min,"Action, Biography, Crime",,46.0,5.7,"6,821",tt5688068,,English,0.0,0.0
Reboot Camp,2020,04 May 2021,97 min,Comedy,7 wins,,4.7,"1,842",tt11111286,,English,0.0,0.0
Benny Loves You,2019,15 Feb 2021,94 min,"Comedy, Fantasy, Horror",3 wins & 4 nominations,,5.6,"2,513",tt3917506,,English,10000.0,10000.0
Oxygen,2021,12 May 2021,100 min,"Drama, Fantasy, Sci-Fi",1 nomination,67.0,6.5,"40,634",tt6341832,,French,6800.0,0.0
Army of the Dead,2021,21 May 2021,148 min,"Action, Crime, Drama",1 win & 4 nominations,57.0,5.7,"176,911",tt0993840,,"Bable, Polish, English, Spanish, German, French",0.0,0.0
Those Who Wish Me Dead,2021,14 May 2021,100 min,"Action, Drama, Thriller",,59.0,6.0,"64,296",tt3215824,"$7,407,200",English,20000000.0,20000000.0
The Woman in the Window,2020,14 May 2021,100 min,"Crime, Drama, Mystery",6 nominations,41.0,5.7,"77,990",tt6111574,,English,4000000.0,4000000.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",English,80000.0,0.0
Georgetown,2019,14 May 2021,99 min,"Biography, Crime, Drama",,49.0,6.2,"4,577",tt4669252,,English,0.0,0.0
Finding You,2020,14 May 2021,119 min,"Drama, Romance",1 nomination,41.0,6.4,"6,070",tt8760280,"$2,753,985",English,0.0,0.0
The Killing of Two Lovers,2020,14 May 2021,85 min,Drama,1 win & 12 nominations,82.0,6.9,"4,600",tt10702148,"$71,162",English,0.0,0.0
616 Wilford Lane,2021,18 May 2021,85 min,Horror,,,4.2,448,tt10225926,,English,0.0,0.0
Dream Horse,2020,21 May 2021,113 min,"Biography, Comedy, Drama",3 wins & 2 nominations,68.0,6.9,"5,964",tt9883996,"$2,913,328",English,20000000.0,20000000.0
Blast Beat,2020,26 Jan 2020,105 min,Drama,1 win & 2 nominations,53.0,5.3,281,tt10767066,,"English, Spanish",0.0,0.0
A Quiet Place Part II,2020,28 May 2021,97 min,"Drama, Horror, Sci-Fi",Nominated for 1 BAFTA Award14 wins & 44 nominations total,71.0,7.2,"240,513",tt8332922,"$160,072,261","English, American Sign ",61000000.0,61000000.0
Cruella,2021,28 May 2021,134 min,"Adventure, Comedy, Crime",Won 1 Oscar. 29 wins & 42 nominations total,59.0,7.3,"240,976",tt3228774,"$86,103,234","English, French",200000000.0,200000000.0
Plan B,2009,06 May 2010,106 min,"Comedy, Drama, Romance",2 wins & 2 nominations,,7.0,"4,398",tt1408972,,Spanish,0.0,0.0
Changing the Game,2012,11 May 2012,104 min,"Action, Crime, Drama",,,4.0,529,tt1569931,,English,0.0,0.0
Spirit Untamed,2021,04 Jun 2021,88 min,"Animation, Adventure, Comedy",1 win & 9 nominations,49.0,5.5,"4,027",tt11084896,"$17,716,215",English,30000000.0,30000000.0
The Conjuring: The Devil Made Me Do It,2021,04 Jun 2021,112 min,"Horror, Mystery, Thriller",,53.0,6.3,"121,774",tt7069210,"$65,631,050","English, Latin",39000000.0,39000000.0
Gully,2019,04 Jun 2021,84 min,"Crime, Drama",2 nominations,,2.7,"21,297",tt5013984,"$22,517",English,0.0,0.0
Flashback,2020,04 Jun 2021,97 min,"Drama, Mystery, Thriller",3 nominations,49.0,5.3,"6,510",tt8372094,,English,0.0,0.0
Under the Stadium Lights,2021,04 Jun 2021,109 min,"Action, Drama, Sport",,31.0,3.9,432,tt6384920,,English,0.0,0.0
Grace and Grit,2021,04 Jun 2021,111 min,"Biography, Drama, Romance",,,5.1,317,tt3910630,,English,6000000.0,6000000.0
Awake,2007,30 Nov 2007,84 min,"Crime, Drama, Mystery",1 win & 3 nominations,33.0,6.5,"76,988",tt0211933,"$14,377,198","English, Japanese",100.0,0.0
Infinite,2021,10 Jun 2021,106 min,"Action, Sci-Fi, Thriller",1 win & 3 nominations,28.0,5.4,"54,481",tt6654210,,English,0.0,0.0
