Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,budget_min
Insidious: The Last Key,2018,05 Jan 2018,103 min,"Horror, Mystery, Thriller",6 nominations,49.0,5.7,"62,852",tt5726086,"$67,745,330",English,10000000.0,10000000.0
The Strange Ones,2017,05 Jan 2018,81 min,"Drama, Thriller",5 wins & 11 nominations,57.0,5.1,"2,741",tt6014904,,English,0.0,0.0
Stratton,2017,05 Jan 2018,95 min,"Action, Thriller",,26.0,4.8,"5,398",tt3567666,,English,,
Sweet Country,2017,06 Apr 2018,113 min,"Adventure, Crime, Drama",22 wins & 29 nominations,88.0,6.9,"8,825",tt6958212,"$104,297","English, Aboriginal",0.0,0.0
The Commuter,2018,12 Jan 2018,104 min,"Action, Mystery, Thriller",2 nominations,56.0,6.3,"118,862",tt1590193,"$36,343,858","English, Spanish",30000000.0,30000000.0
Proud Mary,2018,12 Jan 2018,89 min,"Action, Crime, Drama",1 win & 4 nominations,35.0,5.0,"10,240",tt6421110,"$20,877,013","English, Russian",14000000.0,0.0
Acts of Violence,2018,12 Jan 2018,86 min,"Action, Crime, Thriller",,28.0,5.3,"12,708",tt6684714,,English,0.0,0.0
Freak Show,2017,12 Jan 2018,91 min,"Comedy, Drama",4 nominations,54.0,6.5,"4,371",tt5089534,"$19,696",English,0.0,0.0
Humor Me,2017,12 Jan 2018,93 min,Comedy,1 win & 1 nomination,53.0,6.1,"1,333",tt5658242,"$40,099",English,,
Vazante,2017,12 Jan 2018,116 min,"Adventure, Drama",5 wins & 32 nominations,68.0,6.3,641,tt4673790,"$23,884",Portuguese,2424713.0,2424713.0
Mary and the Witch's Flower,2017,08 Jul 2017,103 min,"Animation, Adventure, Family",7 nominations,74.0,6.8,"14,943",tt6336356,"$2,418,404",Japanese,,
12 Strong,2018,19 Jan 2018,130 min,"Action, Drama, History",3 nominations,54.0,6.5,"85,069",tt1413492,"$45,819,713","English, Dari, Russian, Spanish, Uzbek",35000000.0,35000000.0
Den of Thieves,2018,19 Jan 2018,140 min,"Action, Crime, Drama",1 nomination,49.0,7.0,"116,418",tt1259528,"$44,947,622","English, Polynesian, Spanish",30000000.0,30000000.0
Forever My Girl,2018,19 Jan 2018,108 min,"Comedy, Drama, Music",,36.0,6.6,"18,746",tt4103724,"$16,376,066",English,3500000.0,3500000.0
Maze Runner: The Death Cure,2018,26 Jan 2018,143 min,"Action, Adventure, Sci-Fi",7 nominations,50.0,6.2,"147,198",tt4500922,"$58,032,443",English,62000000.0,62000000.0
The Insult,2017,25 Jun 2019,113 min,"Crime, Drama, Thriller",Nominated for 1 Oscar. 20 wins & 20 nominations total,72.0,7.6,"17,336",tt7048622,"$1,001,305",Arabic,,
Please Stand By,2017,26 Jan 2018,93 min,"Comedy, Drama",,49.0,6.7,"14,246",tt4652650,"$9,868","English, Klingon",0.0,0.0
Winchester,2018,02 Feb 2018,99 min,"Drama, Fantasy, Horror",6 wins & 10 nominations,28.0,5.4,"35,122",tt1072748,"$25,091,816",English,3500000.0,3500000.0
A Fantastic Woman,2017,02 Feb 2018,104 min,Drama,Won 1 Oscar. 32 wins & 42 nominations total,85.0,7.2,"26,347",tt5639354,"$2,020,988","Spanish, Chinese",,
Armed,2018,14 Sep 2018,118 min,"Action, Thriller",1 nomination,,3.5,482,tt4824316,"$3,948",English,0.0,0.0
The Cloverfield Paradox,2018,04 Feb 2018,102 min,"Action, Adventure, Horror",1 nomination,37.0,5.5,"108,105",tt2548396,,"English, Mandarin, German",45000000.0,45000000.0
Bad Apples,2018,06 Feb 2018,85 min,Horror,,,3.2,"1,792",tt7091300,,English,0.0,0.0
Peter Rabbit,2018,09 Feb 2018,95 min,"Adventure, Comedy, Crime",4 wins & 17 nominations,51.0,6.6,"44,615",tt5117670,"$115,253,424",English,50000000.0,50000000.0
Fifty Shades Freed,2018,09 Feb 2018,105 min,"Drama, Romance, Thriller",6 wins & 10 nominations,31.0,4.5,"68,360",tt4477536,"$100,407,760",English,55000000.0,55000000.0
The 15:17 to Paris,2018,09 Feb 2018,94 min,"Biography, Drama, Thriller",1 win & 3 nominations,45.0,5.3,"34,574",tt6802308,"$36,276,286","English, French, Arabic, German, Dutch",30000000.0,30000000.0
La boda de Valentina,2018,09 Feb 2018,107 min,"Comedy, Romance",,,4.7,714,tt4823538,"$2,783,739","Spanish, English",,
Kri,2018,23 Feb 2018,138 min,"Action, Drama",1 win & 1 nomination,,5.7,140,tt7528086,,Nepali,0.0,0.0
Permission,2017,09 Feb 2018,96 min,"Comedy, Drama, Romance",,62.0,5.3,"4,686",tt5390066,,English,0.0,0.0
Monster Family,2017,09 Feb 2018,93 min,"Animation, Comedy, Family",,,4.8,"5,100",tt6572702,"$127,259","English, German",,
Golden Exits,2017,09 Feb 2018,94 min,Drama,2 wins & 7 nominations,71.0,5.7,"2,231",tt5687814,"$41,888",English,10000000.0,10000000.0
Black Panther,2018,16 Feb 2018,134 min,"Action, Adventure, Sci-Fi",Won 3 Oscars. 117 wins & 282 nominations total,88.0,7.3,"795,068",tt1825683,"$700,426,566","English, Swahili, Nama, Xhosa, Korean",200000000.0,200000000.0
Early Man,2018,16 Feb 2018,89 min,"Animation, Adventure, Comedy",1 win & 15 nominations,68.0,6.1,"22,809",tt4701724,"$8,267,544",English,50000000.0,50000000.0
Loveless,2017,01 Jun 2017,127 min,Drama,Nominated for 1 Oscar. 28 wins & 49 nominations total,86.0,7.6,"34,046",tt6304162,"$566,356","Russian, Portuguese, Uzbek",0.0,0.0
The Party,1968,04 Apr 1968,99 min,Comedy,1 nomination,,7.4,"41,737",tt0063415,,"English, Italian, Russian, French, Cantonese",0.0,0.0
Nostalgia,2022,25 May 2022,117 min,Drama,7 wins & 18 nominations,76.0,6.8,"1,869",tt14034614,,Italian,0.0,0.0
Black '47,2018,28 Sep 2018,100 min,"Action, Drama, History",2 wins & 6 nominations,65.0,6.8,"12,368",tt3208026,"$57,520","English, Irish Gaelic",0.0,0.0
Samson,2018,16 Feb 2018,110 min,"Action, Drama",,17.0,4.5,"4,739",tt6951892,"$4,719,928",English,0.0,0.0
Game Night,2018,23 Feb 2018,100 min,"Action, Adventure, Comedy",4 wins & 21 nominations,66.0,6.9,"241,257",tt2704998,"$69,268,230",English,37000000.0,0.0
Annihilation,2018,23 Feb 2018,115 min,"Adventure, Drama, Horror",17 wins & 64 nominations,79.0,6.8,"335,136",tt2798920,"$32,732,301",English,40000000.0,0.0
Every Day,2018,23 Feb 2018,97 min,"Drama, Fantasy, Romance",1 nomination,52.0,6.4,"22,431",tt7026672,"$6,102,076",English,4900000.0,0.0
The Cured,2017,23 Feb 2018,95 min,"Drama, Horror, Sci-Fi",2 nominations,57.0,5.6,"8,933",tt3463106,"$26,630",English,,
The Lodgers,2017,23 Feb 2018,92 min,"Drama, Horror, Mystery",4 wins & 4 nominations,52.0,5.1,"9,343",tt4399952,"$7,362",English,,
Red Sparrow,2018,02 Mar 2018,140 min,"Action, Drama, Thriller",3 wins & 9 nominations,53.0,6.6,"191,207",tt2873282,"$46,874,505","English, Russian, Hungarian",69000000.0,69000000.0
Death Wish,2018,02 Mar 2018,107 min,"Action, Crime, Drama",4 nominations,31.0,6.3,"73,701",tt1137450,"$34,017,028","English, Spanish",30000000.0,30000000.0
The Vanishing of Sidney Hall,2017,02 Mar 2018,119 min,"Drama, Mystery, Romance",,18.0,6.8,"11,273",tt1291566,,English,0.0,0.0
Foxtrot,2017,21 Sep 2017,113 min,Drama,21 wins & 25 nominations,88.0,7.2,"7,780",tt6896536,"$618,883","Hebrew, German",0.0,0.0
Pickings,2018,03 Aug 2018,103 min,"Action, Crime, Drama",9 wins & 15 nominations,,5.1,"1,076",tt4789822,,English,350000.0,350000.0
A Wrinkle in Time,2018,09 Mar 2018,109 min,"Adventure, Family, Fantasy",5 wins & 16 nominations,53.0,4.2,"46,059",tt1620680,"$100,478,608",English,103000000.0,103000000.0
Gringo,2018,09 Mar 2018,111 min,"Action, Comedy, Crime",2 nominations,46.0,6.1,"31,068",tt3721964,"$4,969,853","English, Spanish, French, Yoruba",0.0,0.0
Thoroughbreds,2017,09 Mar 2018,92 min,"Comedy, Crime, Drama",1 win & 25 nominations,75.0,6.6,"44,601",tt5649108,"$3,072,605",English,0.0,0.0
The Death of Stalin,2017,09 Mar 2018,107 min,"Comedy, Drama, History",Nominated for 2 BAFTA 18 wins & 40 nominations total,88.0,7.2,"105,851",tt4686844,"$8,047,856",English,,
The Leisure Seeker,2017,03 Jan 2018,112 min,"Adventure, Comedy, Drama",3 wins & 11 nominations,45.0,6.7,"9,220",tt3741632,"$3,226,443",English,0.0,0.0
The Strangers: Prey at Night,2018,09 Mar 2018,85 min,Horror,,48.0,5.2,"32,389",tt1285009,"$24,586,708",English,12500000.0,12500000.0
The Hurricane Heist,2018,09 Mar 2018,103 min,"Action, Adventure, Crime",,35.0,5.1,"21,418",tt5360952,"$6,115,825","American Sign , English",35000000.0,35000000.0
Tomb Raider,2018,16 Mar 2018,119 min,"Action, Adventure, Fantasy",8 nominations,48.0,6.3,"218,447",tt1365519,"$58,250,803","English, Cantonese, Hindi",94000000.0,94000000.0
"Love, Simon",2018,16 Mar 2018,110 min,"Comedy, Drama, Romance",9 wins & 28 nominations,72.0,7.5,"118,357",tt5164432,"$40,826,341","English, German, French",17000000.0,17000000.0
I Can Only Imagine,2018,16 Mar 2018,110 min,"Biography, Drama, Family",6 wins & 5 nominations,30.0,7.3,"16,803",tt6450186,"$83,482,352",English,7000000.0,7000000.0
7 Days in Entebbe,2018,16 Mar 2018,107 min,"Action, Drama, History",,49.0,5.9,"16,325",tt5466186,"$3,326,885","English, German, French, Hebrew, Arabic",0.0,0.0
Furlough,2018,16 Mar 2018,83 min,"Comedy, Drama",,,5.5,"1,988",tt5291792,"$8,472",English,0.0,0.0
Josie,2018,16 Mar 2018,100 min,"Drama, Thriller",2 wins,31.0,5.2,"3,374",tt4682780,,English,0.0,0.0
Flower,2017,16 Mar 2018,90 min,"Comedy, Drama",1 nomination,45.0,6.0,"9,702",tt2582784,"$328,188",English,,
Pacific Rim: Uprising,2018,23 Mar 2018,111 min,"Action, Adventure, Fantasy",6 nominations,44.0,5.6,"120,385",tt2557478,"$59,874,525","English, Mandarin, Russian",150000000.0,150000000.0
Isle of Dogs,2018,13 Apr 2018,101 min,"Animation, Adventure, Comedy",Nominated for 2 Oscars. 34 wins & 94 nominations total,82.0,7.8,"174,962",tt5104604,"$32,015,231","English, Japanese",62770198.0,62770198.0
Sherlock Gnomes,2018,23 Mar 2018,86 min,"Animation, Adventure, Comedy",1 win & 6 nominations,36.0,5.2,"13,063",tt2296777,"$43,242,871","English, Mandarin",59000000.0,59000000.0
Unsane,2018,23 Mar 2018,98 min,"Drama, Horror, Mystery",1 win & 5 nominations,63.0,6.4,"47,770",tt7153766,"$7,732,899",English,1500000.0,1500000.0
"Paul, Apostle of Christ",2018,23 Mar 2018,108 min,"Adventure, Biography, Drama",5 wins & 5 nominations,52.0,6.6,"8,950",tt7388562,"$17,560,475",English,5000000.0,5000000.0
Final Portrait,2017,23 Mar 2018,90 min,"Biography, Comedy, Drama",1 nomination,70.0,6.3,"5,817",tt4494718,"$461,972","English, French, Italian",,
Midnight Sun,2018,23 Mar 2018,91 min,"Drama, Romance",6 nominations,38.0,6.6,"33,083",tt4799066,"$9,561,064",English,2800000.0,0.0
Ready Player One,2018,29 Mar 2018,140 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 11 wins & 56 nominations total,64.0,7.4,"448,973",tt1677720,"$137,715,350",English,175000000.0,175000000.0
God's Not Dead: A Light in Darkness,2018,30 Mar 2018,105 min,Drama,3 nominations,33.0,4.4,"4,186",tt6652708,"$5,728,940",English,0.0,0.0
Gemini,2017,30 Mar 2018,93 min,"Crime, Drama, Mystery",1 win & 5 nominations,71.0,5.4,"5,314",tt5795086,"$200,340",English,,
The Last Movie Star,2017,30 Mar 2018,94 min,Drama,3 wins & 2 nominations,46.0,7.0,"4,584",tt5836316,"$14,410",English,0.0,0.0
A Quiet Place,2018,06 Apr 2018,90 min,"Drama, Horror, Sci-Fi",Nominated for 1 Oscar. 35 wins & 126 nominations total,82.0,7.5,"542,991",tt6644200,"$188,024,361","American Sign , English",17000000.0,17000000.0
Blockers,2018,06 Apr 2018,102 min,"Comedy, Drama",1 win & 6 nominations,69.0,6.2,"81,525",tt2531344,"$60,311,495",English,21000000.0,21000000.0
You Were Never Really Here,2017,06 Apr 2018,89 min,"Crime, Drama",Nominated for 1 BAFTA Award23 wins & 77 nominations total,84.0,6.7,"122,036",tt5742374,"$2,528,078",English,,
Chappaquiddick,2017,06 Apr 2018,106 min,"Biography, Drama, History",7 nominations,67.0,6.4,"13,919",tt5270948,"$17,395,520",English,34000000.0,34000000.0
Pandas,2018,06 Apr 2018,42 min,"Documentary, Short",1 win & 1 nomination,82.0,7.3,706,tt7860270,"$7,574,012",English,0.0,0.0
Lean on Pete,2017,04 May 2018,121 min,"Adventure, Drama, Sport",11 wins & 18 nominations,80.0,7.2,"13,233",tt5340300,"$1,163,056","English, Spanish",8000000.0,8000000.0
The Miracle Season,2018,06 Apr 2018,101 min,"Drama, Sport",1 nomination,44.0,6.5,"5,772",tt5427194,"$10,230,620",English,0.0,0.0
Beirut,2018,11 Apr 2018,109 min,"Action, Crime, Drama",1 nomination,69.0,6.5,"23,345",tt4669264,"$5,019,226","English, Arabic, French",0.0,0.0
Rampage,2018,13 Apr 2018,107 min,"Action, Adventure, Sci-Fi",7 nominations,45.0,6.1,"173,366",tt2231461,"$101,028,233","English, American Sign ",120000000.0,120000000.0
Truth or Dare,2018,13 Apr 2018,100 min,"Horror, Thriller",1 win & 2 nominations,35.0,5.2,"58,482",tt6772950,"$41,411,015","English, Spanish",3500000.0,0.0
The Rider,2017,13 Apr 2018,104 min,"Drama, Western",25 wins & 56 nominations,91.0,7.4,"19,687",tt6217608,"$2,419,031","English, Sioux, Spanish",0.0,0.0
Sgt. Stubby: An American Hero,2018,13 Apr 2018,84 min,"Animation, Adventure, Family",23 wins & 7 nominations,58.0,6.9,"2,376",tt5314190,"$4,015,935","English, French, German",25000000.0,25000000.0
I Feel Pretty,2018,20 Apr 2018,110 min,"Comedy, Romance",1 win & 5 nominations,48.0,5.6,"55,123",tt6791096,"$48,795,601",English,32000000.0,32000000.0
Super Troopers 2,2018,20 Apr 2018,99 min,"Comedy, Crime, Mystery",2 wins & 2 nominations,41.0,6.0,"27,266",tt0859635,"$30,617,396",English,13500000.0,13500000.0
Traffik,2018,20 Apr 2018,96 min,"Action, Thriller",3 nominations,37.0,5.9,"20,841",tt5670152,"$9,186,156",English,4000000.0,4000000.0
The House of Tomorrow,2017,20 Jun 2019,85 min,"Comedy, Drama",1 win & 1 nomination,58.0,6.1,"2,242",tt5910344,"$35,821",English,,
Liz and the Blue Bird,2018,21 Apr 2018,90 min,"Animation, Drama, Fantasy",1 win & 4 nominations,67.0,7.1,"1,876",tt7089878,"$63,204","Japanese, English",0.0,0.0
Avengers: Infinity War,2018,27 Apr 2018,149 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 46 wins & 79 nominations total,68.0,8.4,"1,107,989",tt4154756,"$678,815,482",English,300000000.0,300000000.0
Disobedience,2017,27 Apr 2018,114 min,Drama,4 wins & 27 nominations,74.0,6.6,"32,921",tt6108178,"$3,498,782","English, Hebrew",6000000.0,6000000.0
Backstabbing for Beginners,2018,27 Apr 2018,108 min,"Drama, History, Romance",1 nomination,48.0,6.3,"5,514",tt5153288,,"English, Persian, French",0.0,0.0
Action Point,2018,01 Jun 2018,85 min,Comedy,,36.0,5.1,"11,809",tt6495770,"$5,059,608",English,19000000.0,19000000.0
Adrift,2018,01 Jun 2018,96 min,"Action, Adventure, Biography",5 nominations,56.0,6.6,"58,470",tt6306064,"$31,445,012","English, French",35000000.0,0.0
Upgrade,2018,01 Jun 2018,100 min,"Action, Sci-Fi, Thriller",3 wins & 26 nominations,67.0,7.5,"191,226",tt6499752,"$11,977,130","English, Dutch",5000000.0,5000000.0
American Animals,2018,14 Aug 2018,116 min,"Biography, Crime, Drama",10 wins & 22 nominations,68.0,7.0,"46,630",tt6212478,"$2,856,954","English, Dutch",3000000.0,3000000.0
Social Animals,2018,01 Jun 2018,90 min,Comedy,,37.0,5.3,"1,902",tt5639898,"$5,007",English,0.0,0.0
Ocean's 8: Reimagining the Met Gala,2018,11 Sep 2018,13 min,"Documentary, Short",,,7.1,21,tt9108974,,English,,
Won't You Be My Neighbor?,2018,29 Jun 2018,95 min,"Documentary, Biography",54 wins & 34 nominations,85.0,8.3,"26,192",tt7681902,"$22,835,787","English, Hebrew",0.0,0.0
Hereditary,2018,08 Jun 2018,127 min,"Drama, Horror, Mystery",48 wins & 112 nominations,87.0,7.3,"334,055",tt7784604,"$44,069,456","English, Spanish",10000000.0,10000000.0
Hotel Artemis,2018,08 Jun 2018,94 min,"Action, Crime, Drama",1 win & 1 nomination,58.0,6.1,"55,254",tt5834262,"$6,708,147","English, French",15000000.0,15000000.0
SuperFly,2018,13 Jun 2018,116 min,"Action, Crime, Thriller",,52.0,5.2,"7,309",tt7690670,"$20,545,116","English, Spanish, Cantonese",16000000.0,16000000.0
Incredibles 2,2018,15 Jun 2018,118 min,"Animation, Action, Adventure",Nominated for 1 Oscar. 12 wins & 81 nominations total,80.0,7.6,"305,694",tt3606756,"$608,581,744",English,200000000.0,200000000.0
Tag,2018,15 Jun 2018,100 min,"Action, Comedy",3 nominations,56.0,6.5,"137,681",tt2854926,"$54,730,625","English, Spanish",28000000.0,1000.0
On Chesil Beach,2017,18 May 2018,110 min,"Drama, Music, Romance",,62.0,6.3,"11,720",tt1667321,"$745,971",English,745971.0,745971.0
Gotti,2018,14 Jun 2018,112 min,"Biography, Crime, Drama",7 nominations,24.0,4.7,"16,021",tt1801552,"$4,343,227",English,10000000.0,10000000.0
Jurassic World: Fallen Kingdom,2018,22 Jun 2018,128 min,"Action, Adventure, Sci-Fi",4 wins & 26 nominations,51.0,6.1,"324,475",tt4881806,"$417,719,760","English, Russian",170000000.0,170000000.0
Boundaries,2018,13 Sep 2018,104 min,"Comedy, Drama",5 nominations,50.0,5.5,"2,470",tt5686062,"$703,438",English,0.0,0.0
Damsel,2018,22 Jun 2018,113 min,"Comedy, Drama, Western",3 nominations,63.0,5.6,"5,550",tt5881528,"$305,136",English,0.0,0.0
The Domestics,2018,29 Jun 2018,95 min,"Action, Horror, Sci-Fi",,,5.7,"10,216",tt5591666,,English,0.0,0.0
Sicario: Day of the Soldado,2018,29 Jun 2018,122 min,"Action, Crime, Drama",1 win & 7 nominations,61.0,7.0,"154,216",tt5052474,"$50,072,235","English, Spanish, American Sign , Arabic, Somali, Spanish Sign ",35000000.0,35000000.0
Leave No Trace,2018,29 Jun 2018,109 min,"Adventure, Drama",18 wins & 95 nominations,88.0,7.1,"61,771",tt3892172,"$6,046,104",English,0.0,0.0
Uncle Drew,2018,29 Jun 2018,103 min,"Comedy, Sport",3 wins & 1 nomination,57.0,5.8,"15,023",tt7334528,"$42,469,946",English,19000000.0,19000000.0
Woman Walks Ahead,2017,29 Jun 2018,101 min,"Biography, Drama, History",6 wins & 1 nomination,51.0,6.6,"7,667",tt5436228,"$57,528","English, Sioux",0.0,0.0
Overboard,1987,16 Dec 1987,112 min,"Comedy, Romance",3 nominations,53.0,6.9,"62,998",tt0093693,"$26,713,187","English, French, Portuguese",12000000.0,0.0
Tully,2018,04 May 2018,95 min,"Comedy, Drama, Mystery",3 wins & 28 nominations,75.0,6.9,"60,739",tt5610554,"$9,369,755",English,0.0,0.0
Bad Samaritan,2018,04 May 2018,110 min,"Crime, Horror, Thriller",1 nomination,42.0,6.4,"24,594",tt3203528,"$3,435,047",English,0.0,0.0
The Cleanse,2016,04 May 2018,81 min,"Comedy, Drama, Fantasy",6 wins & 4 nominations,58.0,5.1,"3,945",tt3734354,,English,0.0,0.0
The Guardians,2017,23 Feb 2017,89 min,"Action, Adventure, Comedy",1 nomination,,4.0,"14,023",tt4600952,,Russian,0.0,0.0
Life of the Party,2018,11 May 2018,105 min,Comedy,3 wins & 4 nominations,46.0,5.6,"37,981",tt5619332,"$53,059,911",English,30000000.0,30000000.0
Breaking In,2018,11 May 2018,88 min,"Action, Thriller",1 win & 1 nomination,42.0,5.5,"16,295",tt7137846,"$46,840,590",English,6000000.0,6000000.0
The Seagull,2018,26 Jul 2018,98 min,"Comedy, Drama, Romance",1 win & 3 nominations,58.0,5.7,"3,763",tt4682136,"$1,252,960",English,0.0,0.0
Terminal,2018,11 May 2018,95 min,"Comedy, Crime, Drama",2 nominations,27.0,5.3,"23,518",tt4463816,,English,2700.0,0.0
Deadpool 2,2018,18 May 2018,119 min,"Action, Adventure, Comedy",6 wins & 52 nominations,66.0,7.7,"597,624",tt5463162,"$324,591,735","English, Cantonese, Spanish, Russian",110000000.0,110000000.0
Book Club,2018,18 May 2018,104 min,"Comedy, Drama, Romance",2 wins & 3 nominations,53.0,6.1,"29,050",tt6857166,"$68,566,296","English, Hungarian, Spanish, French",10000000.0,10000000.0
First Reformed,2017,08 Jun 2018,113 min,"Drama, Mystery, Thriller",Nominated for 1 Oscar. 60 wins & 109 nominations total,85.0,7.1,"58,770",tt6053438,"$3,448,256",English,3500000.0,3500000.0
