Title,Genre,Premiere,Runtime,Language
Rim of the World,Science fiction adventure,24-May-19,1 h 39 min,English
The Perfection,Horror-thriller,24-May-19,1 h 30 min,English
Always Be My Maybe,Romantic comedy,31-May-19,1 h 42 min,English
Chopsticks,Comedy,31-May-19,1 h 40 min,Hindi
Elisa & Marcela,Romance,07-Jun-19,1 h 58 min,Spanish
Murder Mystery,Comedy mystery,14-Jun-19,1 h 37 min,English
Beats,Drama,19-Jun-19,1 h 50 min,English
Point Blank,Action,12-Jul-19,1 h 26 min,English
Secret Obsession,Thriller,18-Jul-19,1 h 37 min,English
The Red Sea Diving Resort,Spy thriller,31-Jul-19,2 h 10 min,English
Otherhood,Comedy,02-Aug-19,1 h 40 min,English
Jaoon Kahan Bata Ae Dil,Drama,09-Aug-19,1 h 46 min,Hindi
Invader Zim: Enter the Florpus,Animation / Science fiction,16-Aug-19,1 h 11 min,English
Sextuplets,Comedy,16-Aug-19,1 h 39 min,English
Falling Inn Love,Romantic comedy,29-Aug-19,1 h 38 min,English
Back to School,Comedy,30-Aug-19,1 h 23 min,French
Tall Girl,Comedy drama,13-Sep-19,1 h 42 min,English
Between Two Ferns: The Movie,Comedy,20-Sep-19,1 h 22 min,English
In the Shadow of the Moon,Thriller,27-Sep-19,1 h 55 min,English
In the Tall Grass,Horror,04-Oct-19,1 h 41 min,English
El Camino: A Breaking Bad Movie,Crime drama,11-Oct-19,2 h 2 min,English
Fractured,Thriller,11-Oct-19,1 h 40 min,English
The Forest of Love,Drama,11-Oct-19,2 h 31 min,Japanese
Street Flow,Drama,12-Oct-19,1 h 36 min,French
Eli,Horror,18-Oct-19,1 h 38 min,English
Seventeen,Coming-of-age comedy drama,18-Oct-19,1 h 39 min,Spanish
The Laundromat,Comedy drama,18-Oct-19,1 h 36 min,English
Upstarts,Drama,18-Oct-19,1 h 52 min,Hindi
Dolemite Is My Name,Biopic,25-Oct-19,1 h 58 min,English
Rattlesnake,Horror,25-Oct-19,1 h 25 min,English
The King,Historical drama,01-Nov-19,2 h 20 min,English
American Son,Drama,01-Nov-19,1 h 30 min,English
Drive,Action,01-Nov-19,1 h 59 min,Hindi
Holiday in the Wild,Adventure-romance,01-Nov-19,1 h 26 min,English
Let It Snow,Romantic comedy,08-Nov-19,1 h 33 min,English
Earthquake Bird,Mystery,15-Nov-19,1 h 46 min,English
House Arrest,Comedy,15-Nov-19,1 h 44 min,Hindi
Klaus,Animation / Christmas / Comedy / Adventure,15-Nov-19,1 h 38 min,English
The Knight Before Christmas,Romantic comedy,21-Nov-19,1 h 32 min,English
The Irishman,Crime drama,27-Nov-19,3 h 29 min,English
Holiday Rush,Family film,28-Nov-19,1 h 34 min,English
Dead Kids,Thriller,01-Dec-19,1 h 34 min,Filipino
A Christmas Prince: The Royal Baby,Romantic comedy,05-Dec-19,1 h 25 min,English
Marriage Story,Drama,06-Dec-19,2 h 16 min,English
6 Underground,Action,13-Dec-19,2 h 8 min,English
The Two Popes,Drama,20-Dec-19,2 h 5 min,English
Como caído del cielo,Musical comedy,24-Dec-19,1 h 57 min,Spanish
