Title,Genre,Premiere,Runtime,Language
Mixtape,Coming-of-age comedy-drama,03-Dec-21,1 h 37 min,English
David and the Elves,Fantasy,06-Dec-21,1 h 46 min,Polish
The Claus Family 2,Fantasy,07-Dec-21,1 h 37 min,Dutch
Asakusa Kid,Drama,09-Dec-21,2 h 3 min,Japanese
Anonymously Yours,Romantic comedy,10-Dec-21,1 h 41 min,Spanish
Back to the Outback,Animation,10-Dec-21,1 h 35 min,English
The Unforgivable,Drama,10-Dec-21,1 h 54 min,English
The Hand of God,Drama,15-Dec-21,2 h 10 min,Italian
A California Christmas: City Lights,Romantic comedy,16-Dec-21,1 h 30 min,English
A Naija Christmas,Romantic comedy,16-Dec-21,2 h 1 min,English
Grumpy Christmas,Comedy,21-Dec-21,1 h 27 min,Spanish
1000 Miles from Christmas,Christmas film,24-Dec-21,1 h 42 min,Spanish
Don't Look Up,Science fiction comedy,24-Dec-21,2 h 18 min,English
Minnal Murali,Superhero,24-Dec-21,2 h 39 min,Malayalam
Lulli,Comedy,26-Dec-21,1 h 30 min,Portuguese
Hilda and the Mountain King,Animation/fantasy,30-Dec-21,1 h 24 min,English
Four to Dinner,Romantic comedy,05-Jan-22,1 h 30 min,Italian
The Wasteland,Horror,06-Jan-22,1 h 32 min,Spanish
How I Fell in Love with a Gangster,Drama,12-Jan-22,2 h 59 min,Polish
Brazen,Romantic thriller,13-Jan-22,1 h 36 min,English
Photocopier,Coming-of-age drama,13-Jan-22,2 h 10 min,Indonesian
This Is Not a Comedy,Comedy drama,14-Jan-22,1 h 45 min,Spanish
The Royal Treatment,Romance,20-Jan-22,1 h 37 min,English
Amandla,Drama,21-Jan-22,1 h 46 min,English
Munich – The Edge of War,Historical drama / thriller,21-Jan-22,2 h 11 min,English
My Father's Violin,Drama,21-Jan-22,1 h 52 min,Turkish
Home Team,Sports comedy,28-Jan-22,1 h 37 min,English
Looop Lapeta,Romantic thriller,04-Feb-22,2 h 11 min,Hindi
Through My Window,Drama,04-Feb-22,1 h 53 min,Spanish
The Privilege,Horror,09-Feb-22,1 h 47 min,German
Into the Wind,Romantic drama,10-Feb-22,1 h 48 min,Polish
Bigbug,Science fiction comedy,11-Feb-22,1 h 51 min,French
Love and Leashes,Romantic comedy,11-Feb-22,1 h 58 min,Korean
Love Tactics,Romantic comedy,11-Feb-22,1 h 38 min,Turkish
Tall Girl 2,Teen romantic comedy,11-Feb-22,1 h 41 min,English
Fistful of Vengeance,Supernatural martial arts drama,17-Feb-22,1 h 36 min,English
Texas Chainsaw Massacre,Slasher,18-Feb-22,1 h 23 min,English
UFO,Drama,23-Feb-22,1 h 50 min,Turkish
A Madea Homecoming,Comedy,25-Feb-22,1 h 47 min,English
Restless,Action thriller,25-Feb-22,1 h 36 min,French
Against the Ice,Survival,02-Mar-22,1 h 43 min,English
The Weekend Away,Thriller,03-Mar-22,1 h 31 min,English
The Invisible Thread,Comedy drama,04-Mar-22,1 h 30 min,Italian
The Adam Project,Science fiction,11-Mar-22,1 h 46 min,English
Rescued by Ruby,Drama,17-Mar-22,1 h 33 min,English
Black Crab,Thriller,18-Mar-22,1 h 54 min,Swedish
Without Saying Goodbye,Romantic comedy,18-Mar-22,1 h 36 min,Spanish
Windfall,Thriller,18-Mar-22,1 h 32 min,English
In Good Hands,Romantic comedy,21-Mar-22,1 h 44 min,Turkish
Love Like the Falling Petals,Drama,24-Mar-22,2 h 9 min,Japanese
All Hail,Drama,30-Mar-22,1 h 58 min,Spanish
Apollo 10 1⁄2: A Space Age Childhood,Animation,01-Apr-22,1 h 38 min,English
Battle: Freestyle,Romantic drama,01-Apr-22,1 h 28 min,Norwegian
The Bubble,Comedy,01-Apr-22,2 h 6 min,English
Cobalt Blue,Romantic drama,02-Apr-22,1 h 52 min,Hindi
Dancing on Glass,Drama,08-Apr-22,2 h 19 min,Spanish
Metal Lords,Musical comedy drama,08-Apr-22,1 h 38 min,English
Yaksha: Ruthless Operations,Spy,08-Apr-22,2 h 5 min,Korean
The Taming of the Shrewd,Comedy,13-Apr-22,1 h 52 min,Polish
Choose or Die,Horror,15-Apr-22,1 h 25 min,English
Man of God,Drama,16-Apr-22,1 h 51 min,English
The Turning Point,Drama,20-Apr-22,1 h 30 min,Italian
365 Days: This Day,Erotic thriller,27-Apr-22,1 h 51 min,English
Silverton Siege,Action thriller,27-Apr-22,1 h 41 min,English
Bubble,Anime,28-Apr-22,1 h 41 min,Japanese
Honeymoon with My Mother,Comedy,29-Apr-22,1 h 50 min,Spanish
Rumspringa – An Amish in Berlin,Comedy,29-Apr-22,1 h 42 min,German
Along for the Ride,Drama,06-May-22,1 h 47 min,English
The Takedown,Action comedy,06-May-22,2 h 1 min,French
Thar,Western thriller,06-May-22,1 h 48 min,Hindi
Senior Year,Comedy,13-May-22,1 h 53 min,English
Toscana,Drama,18-May-22,1 h 30 min,Danish
A Perfect Pairing,Romantic comedy,19-May-22,1 h 42 min,English
F*ck Love Too,Comedy,20-May-22,1 h 32 min,Dutch
Godspeed,Drama,23-May-22,1 h 59 min,Turkish
Interceptor,Action drama,03-Jun-22,1 h 38 min,English
Hustle,Sports,08-Jun-22,1 h 58 min,English
Trees of Peace,Drama,10-Jun-22,1 h 38 min,English
Centauro,Action thriller,15-Jun-22,1 h 30 min,Spanish
Heart Parade,Romantic comedy,15-Jun-22,1 h 48 min,Polish
The Wrath of God,Thriller,15-Jun-22,1 h 38 min,Spanish
Spiderhead,Science fiction action thriller,17-Jun-22,1 h 47 min,English
Doom of Love,Drama,20-Jun-22,1 h 40 min,Turkish
Love & Gelato,Romance,22-Jun-22,1 h 52 min,English
Blasted,Science fiction / comedy,28-Jun-22,1 h 55 min,Norwegian
Beauty,Drama,29-Jun-22,1 h 35 min,English
"Hello, Goodbye, and Everything in Between",Romantic comedy,06-Jul-22,1 h 24 min,English
Dangerous Liaisons,Romantic drama,08-Jul-22,1 h 49 min,French
Jewel,Drama,08-Jul-22,1 h 20 min,English
The Sea Beast,Animated adventure,08-Jul-22,1 h 59 min,English
For Jojo,Drama,11-Jul-22,1 h 30 min,German
Under the Amalfi Sun,Comedy drama,13-Jul-22,1 h 30 min,Italian
Love Goals,Comedy,15-Jul-22,2 h 47 min,Hindi
Persuasion,Drama,15-Jul-22,1 h 49 min,English
The Gray Man,Spy thriller,22-Jul-22,2 h 9 min,English
Recurrence,Thriller,27-Jul-22,1 h 56 min,Spanish
A Cut Above,Comedy,28-Jul-22,1 h 31 min,Portuguese
The Entitled,Romantic comedy,29-Jul-22,1 h 30 min,Filipino
Purple Hearts,Romance,29-Jul-22,2 h 2 min,English
Buba,Comedy,03-Aug-22,1 h 34 min,German
Don't Blame Karma!,Romantic comedy,03-Aug-22,1 h 25 min,Spanish
Wedding Season,Comedy,04-Aug-22,1 h 37 min,English
Carter,Action,05-Aug-22,2 h 14 min,Korean
Darlings,Comedy drama,05-Aug-22,2 h 14 min,Hindi
Rise of the Teenage Mutant Ninja Turtles: The Movie,Animated action-adventure,05-Aug-22,1 h 22 min,English
Heartsong,Romantic comedy,10-Aug-22,1 h 35 min,Turkish
13: The Musical,Musical,12-Aug-22,1 h 34 min,English
Day Shift,Fantasy comedy,12-Aug-22,1 h 53 min,English
Look Both Ways,Romantic comedy,17-Aug-22,1 h 51 min,English
Royalteen,Coming-of-age,17-Aug-22,1 h 48 min,Norwegian
The Next 365 Days,Erotic thriller,19-Aug-22,1 h 53 min,English
That's Amor,Romantic comedy,25-Aug-22,1 h 36 min,English
Loving Adults,Thriller,26-Aug-22,1 h 45 min,Danish
Me Time,Comedy,26-Aug-22,1 h 44 min,English
Seoul Vibe,Action,26-Aug-22,2 h 20 min,Korean
I Came By,Thriller,31-Aug-22,1 h 50 min,English
Fenced in,Comedy,01-Sep-22,1 h 50 min,Portuguese
Love in the Villa,Romantic comedy,01-Sep-22,1 h 55 min,English
The Festival of Troubadours,Drama,02-Sep-22,1 h 42 min,Turkish
End of the Road,Crime thriller,09-Sep-22,1 h 31 min,English
No Limit,Thriller,09-Sep-22,1 h 58 min,French
Broad Peak,Thriller,14-Sep-22,1 h 42 min,Polish
Do Revenge,Black comedy,16-Sep-22,1 h 58 min,English
Drifting Home,Anime,16-Sep-22,2 h,Japanese
I Used to Be Famous,Musical drama,16-Sep-22,1 h 44 min,English
Jogi,Drama,16-Sep-22,1 h 56 min,Hindi
The Perfumier,Crime drama,21-Sep-22,1 h 36 min,German
A Jazzman's Blues,Drama,23-Sep-22,2 h 8 min,English
Lou,Thriller,23-Sep-22,1 h 47 min,English
Athena,Drama,23-Sep-22,1 h 37 min,French
Blonde,Biographical drama,28-Sep-22,2 h 47 min,English
Aníkúlápó,Fantasy drama,30-Sep-22,2 h 22 min,Yoruba
Plan A Plan B,Romantic comedy,30-Sep-22,1 h 46 min,Hindi
Rainbow,Fantasy drama,30-Sep-22,1 h 58 min,Spanish
Jumping from High Places,Drama,05-Oct-22,1 h 28 min,Italian
Mr. Harrigan's Phone,Horror,05-Oct-22,1 h 46 min,English
Togo,Thriller,05-Oct-22,1 h 35 min,Spanish
Doll House,Drama,07-Oct-22,1 h 46 min,Filipino
Luckiest Girl Alive,Mystery,07-Oct-22,1 h 55 min,English
Old People,Horror,07-Oct-22,1 h 41 min,German
Someone Borrowed,Romantic comedy,11-Oct-22,1 h 47 min,Portuguese
The Curse of Bridge Hollow,Comedy,14-Oct-22,1 h 31 min,English
The School for Good and Evil,Children's fantasy,19-Oct-22,2 h 28 min,English
The Stranger,Thriller,19-Oct-22,1 h 57 min,English
20th Century Girl,Romantic,21-Oct-22,2 h 1 min,Korean
Hellhole,Horror,26-Oct-22,1 h 30 min,Polish
Robbing Mussolini,Action comedy,26-Oct-22,1 h 30 min,Italian
The Good Nurse,Drama,26-Oct-22,2 h 3 min,English
Beyond the Universe,Romantic drama,27-Oct-22,2 h 7 min,Portuguese
All Quiet on the Western Front,War drama,28-Oct-22,2 h 28 min,German
Cici,Drama,28-Oct-22,2 h 31 min,Turkish
Wendell & Wild,Stop motion fantasy horror comedy,28-Oct-22,1 h 46 min,English
Wild Is the Wind,Crime drama,28-Oct-22,2 h 3 min,English
The Takeover,Action / thriller,01-Nov-22,1 h 28 min,Dutch
The Soccer Football Movie,Animation,09-Nov-22,1 h 13 min,English
Falling for Christmas,Romantic comedy,10-Nov-22,1 h 35 min,English
Lost Bullet 2: Back for More,Action,10-Nov-22,1 h 40 min,French
Don't Leave,Drama,11-Nov-22,1 h 47 min,Turkish
"Monica, O My Darling",Neo-noir comedy thriller,11-Nov-22,2 h 10 min,Hindi
My Father's Dragon,Animated fantasy adventure,11-Nov-22,1 h 43 min,English
The Lost Lotteries,Comedy,16-Nov-22,1 h 46 min,Thai
The Wonder,Psychological drama,16-Nov-22,1 h 49 min,English
Christmas with You,Romantic comedy,17-Nov-22,1 h 30 min,English
Slumberland,Fantasy adventure,18-Nov-22,2 h,English
Christmas on Mistletoe Farm,Comedy,23-Nov-22,1 h 43 min,English
Lesson Plan,Crime drama,23-Nov-22,1 h 39 min,Polish
The Swimmers,Drama,23-Nov-22,2 h 15 min,English
Who's a Good Boy?,Comedy,23-Nov-22,1 h 35 min,Spanish
The Noel Diary,Drama,24-Nov-22,1 h 40 min,English
A Man of Action,Biopic,30-Nov-22,1 h 51 min,Spanish
Christmas Full of Grace,Romantic comedy,30-Nov-22,1 h 45 min,Portuguese
My Name Is Vendetta,Thriller,30-Nov-22,1 h 30 min,Italian
Qala,Drama,01-Dec-22,1 h 59 min,Hindi
Troll,Monster,01-Dec-22,1 h 43 min,Norwegian
Lady Chatterley's Lover,Romantic drama,02-Dec-22,2 h 7 min,English
Scrooge: A Christmas Carol,Animation,02-Dec-22,1 h 41 min,English
Delivery by Christmas,Romantic comedy,06-Dec-22,1 h 40 min,Polish
Burning Patience,Drama,07-Dec-22,1 h 30 min,Spanish
The Marriage App,Drama,07-Dec-22,1 h 41 min,Spanish
Guillermo del Toro's Pinocchio,Stop motion fantasy musical drama,09-Dec-22,1 h 56 min,English
I Believe in Santa,Romantic comedy,14-Dec-22,1 h 30 min,English
The Big 4,Action comedy,15-Dec-22,2 h 21 min,Indonesian
"Bardo, False Chronicle of a Handful of Truths",Comedy,16-Dec-22,2 h 39 min,Spanish
Private Lesson,Romantic comedy,16-Dec-22,1 h 29 min,Turkish
A Not So Merry Christmas,Comedy,20-Dec-22,1 h 40 min,Spanish
Glass Onion: A Knives Out Mystery,Murder mystery,23-Dec-22,2 h 19 min,English
A Night at the Kindergarten,Black comedy,28-Dec-22,1 h 37 min,Polish
White Noise,Black comedy,30-Dec-22,2 h 16 min,English
