Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
The Happytime Murders,2018,24 Aug 2018,91 min,"Action, Comedy, Crime",2 wins & 10 nominations,27,5.4,"29,184",tt1308728,"$20,706,452",English
Searching,2018,31 Aug 2018,102 min,"Drama, Mystery, Thriller",6 wins & 10 nominations,71,7.6,"169,080",tt7668870,"$26,020,957",English
Papillon,1973,19 Dec 1973,151 min,"Biography, Crime, Drama",Nominated for 1 Oscar. 2 wins & 2 nominations total,58,8.0,"132,859",tt0070511,"$53,267,000","English, Spanish"
Axl Rose: The Prettiest Star,2005,15 Aug 2005,63 min,"Documentary, Biography, Music",N/A,N/A,6.9,27,tt1278004,N/A,English
Operation Finale,2018,29 Aug 2018,122 min,"Biography, Drama, History",2 nominations,58,6.6,"44,705",tt5208252,"$17,612,099","English, Spanish, French, German, Hebrew, Arabic"
Kin,2018,31 Aug 2018,102 min,"Action, Drama, Sci-Fi",3 nominations,35,5.8,"17,763",tt6017942,"$5,718,096",English
The Little Stranger,2018,21 Sep 2018,111 min,"Drama, Horror, Mystery",5 nominations,67,5.5,"10,282",tt6859762,"$713,143",English
Destination Wedding,2018,07 Sep 2018,87 min,"Comedy, Drama, Romance",N/A,46,6.0,"31,263",tt6987770,N/A,"English, Spanish"
Reprisal,2018,16 Oct 2018,89 min,"Action, Drama, Thriller",N/A,19,4.3,"7,805",tt6547170,N/A,English
The Nun,2018,07 Sep 2018,96 min,"Horror, Mystery, Thriller",2 wins & 1 nomination,46,5.3,"146,036",tt5814060,"$117,481,222","English, French, Romanian, Latin"
Peppermint,2018,07 Sep 2018,101 min,"Action, Thriller",4 nominations,29,6.5,"66,888",tt6850820,"$35,418,723","English, Spanish"
The Predator,2018,14 Sep 2018,107 min,"Action, Adventure, Horror",1 win & 8 nominations,48,5.3,"136,748",tt3829266,"$51,024,708","English, Spanish"
White Boy Rick,2018,14 Sep 2018,111 min,"Crime, Drama",2 nominations,59,6.5,"39,470",tt4537896,"$24,011,188",English
A Simple Favor,2018,14 Sep 2018,117 min,"Comedy, Crime, Mystery",3 wins & 6 nominations,67,6.8,"153,299",tt7040874,"$53,548,586",English
The Children Act,2017,14 Sep 2018,105 min,Drama,2 wins & 5 nominations,62,6.7,"14,016",tt6040662,"$547,750",English
Lizzie,2018,14 Sep 2018,105 min,"Biography, Crime, Drama",1 nomination,59,5.9,"8,545",tt5160938,"$642,157",English
Unbroken: Path to Redemption,2018,14 Sep 2018,98 min,"Biography, Drama, History",5 nominations,39,5.8,"3,291",tt7339792,"$6,216,897","English, Italian"
Hell House LLC II: The Abaddon Hotel,2018,20 Sep 2018,89 min,"Horror, Mystery",N/A,N/A,5.3,"4,872",tt8707374,N/A,English
The House with a Clock in Its Walls,2018,21 Sep 2018,105 min,"Comedy, Family, Fantasy",1 win & 1 nomination,57,6.0,"53,188",tt2119543,"$68,549,695",English
Life Itself,2018,21 Sep 2018,117 min,"Drama, Romance",2 wins & 4 nominations,21,6.9,"23,068",tt5989218,"$4,102,648","English, Spanish"
The Sisters Brothers,2018,19 Oct 2018,122 min,"Drama, Western",13 wins & 25 nominations,78,6.9,"66,804",tt4971344,"$3,143,056","English, Russian"
Assassination Nation,2018,21 Sep 2018,108 min,"Action, Comedy, Crime",1 win & 4 nominations,56,6.0,"20,491",tt6205872,"$2,005,142","English, Italian"
Little Italy,2018,21 Sep 2018,102 min,"Comedy, Romance",N/A,28,5.7,"15,999",tt6957966,"$990,230","English, Italian, Latin"
Colette,2018,09 Jan 2019,111 min,"Biography, Drama, History",1 win & 12 nominations,74,6.7,"24,864",tt5437928,"$5,137,622",English
Fahrenheit 11/9,2018,21 Sep 2018,128 min,Documentary,3 wins & 7 nominations,69,7.1,"19,846",tt8632862,"$6,352,306",English
My Son,2021,15 Sep 2021,95 min,"Crime, Drama, Mystery",N/A,N/A,6.0,"12,978",tt13234058,N/A,"English, Gaelic"
"Love, Gilda",2018,21 Sep 2018,88 min,Documentary,Nominated for 2 Primetime Emmys. 3 wins & 3 nominations total,74,7.4,"1,697",tt5424228,"$626,318","English, French"
My Hero Academia: Two Heroes,2018,25 Sep 2018,96 min,"Animation, Action, Adventure",2 wins & 1 nomination,N/A,7.4,"11,324",tt7745068,"$5,754,556",Japanese
Smallfoot,2018,28 Sep 2018,96 min,"Animation, Adventure, Comedy",1 win & 14 nominations,60,6.6,"40,957",tt6182908,"$83,315,531","English, Mandarin"
Night School,2018,28 Sep 2018,111 min,Comedy,1 win & 4 nominations,43,5.6,"42,019",tt6781982,"$77,339,130","English, Spanish, French, Arabic"
Hell Fest,2018,28 Sep 2018,89 min,"Horror, Thriller",1 win,26,5.5,"17,979",tt1999890,"$11,107,431",English
Power of the Air,2018,02 Oct 2018,90 min,Drama,N/A,N/A,7.0,79,tt3554938,N/A,English
Venom,2018,05 Oct 2018,112 min,"Action, Adventure, Sci-Fi",3 wins & 9 nominations,35,6.6,"498,673",tt1270797,"$213,515,506","English, Mandarin, Malay"
A Star Is Born,2018,05 Oct 2018,136 min,"Drama, Music, Romance",Won 1 Oscar. 95 wins & 281 nominations total,88,7.6,"394,393",tt1517451,"$215,333,122","English, French"
The Happy Prince,2018,10 Oct 2018,105 min,"Biography, Drama",5 wins & 15 nominations,64,6.2,"5,516",tt2404639,"$466,440","Latin, English, French, Italian"
First Man,2018,12 Oct 2018,141 min,"Biography, Drama, History",Won 1 Oscar. 32 wins & 196 nominations total,84,7.3,"192,653",tt1213641,"$44,936,545",English
Bad Times at the El Royale,2018,12 Oct 2018,141 min,"Crime, Drama, Mystery",2 wins & 12 nominations,60,7.1,"154,677",tt6628394,"$17,839,115",English
Beautiful Boy,2018,25 Oct 2018,120 min,"Biography, Drama",Nominated for 1 BAFTA Award10 wins & 31 nominations total,62,7.3,"83,988",tt1226837,"$7,649,973",English
The Oath,2018,19 Oct 2018,93 min,"Comedy, Thriller",N/A,58,5.6,"4,834",tt7461200,"$401,463",English
Gosnell: The Trial of America's Biggest Serial Killer,2018,12 Oct 2018,93 min,"Crime, Drama",N/A,N/A,6.5,"4,643",tt3722234,"$3,679,893",English
After Everything,2018,12 Oct 2018,95 min,"Comedy, Drama, Romance",2 nominations,67,6.4,"1,787",tt6688022,N/A,English
Halloween,1978,27 Oct 1978,91 min,"Horror, Thriller",7 wins & 3 nominations,87,7.7,"286,865",tt0077651,"$47,160,000",English
The Hate U Give,2018,19 Oct 2018,133 min,"Crime, Drama",22 wins & 38 nominations,81,7.5,"37,800",tt5580266,"$29,719,483",English
Can You Ever Forgive Me?,2018,02 Nov 2018,106 min,"Biography, Comedy, Crime",Nominated for 3 Oscars. 53 wins & 102 nominations total,87,7.1,"53,741",tt4595882,"$8,803,865",English
Mid90s,2018,26 Oct 2018,85 min,"Comedy, Drama",4 wins & 10 nominations,66,7.3,"69,678",tt5613484,"$7,362,439",English
Wildlife,2018,01 Jan 2019,105 min,Drama,6 wins & 25 nominations,80,6.8,"29,790",tt5929754,"$1,050,616","English, Spanish"
What They Had,2018,29 Nov 2018,101 min,Drama,3 wins & 5 nominations,69,6.7,"4,461",tt6662736,"$260,136",English
Hunter Killer,2018,26 Oct 2018,121 min,"Action, Thriller",1 win,43,6.6,"66,082",tt1846589,"$15,767,460","English, Russian"
Johnny English Strikes Again,2018,26 Oct 2018,89 min,"Action, Adventure, Comedy",1 win,39,6.2,"76,934",tt6921996,"$4,412,170","English, Russian, French, German"
Suspiria,1977,12 Aug 1977,92 min,Horror,1 win & 3 nominations,79,7.3,"97,311",tt0076786,N/A,"Italian, Russian, English, German, Latin"
Indivisible,2016,29 Sep 2016,100 min,Drama,31 wins & 20 nominations,80,6.9,"1,355",tt5259496,N/A,"Italian, English"
Bullitt County,2018,26 Oct 2018,98 min,"Action, Drama, Thriller",8 wins & 5 nominations,50,4.7,561,tt6140148,"$11,257",English
Bohemian Rhapsody,2018,02 Nov 2018,134 min,"Biography, Drama, Music",Won 4 Oscars. 48 wins & 81 nominations total,49,7.9,"549,936",tt1727824,"$216,668,042","English, British Sign "
The Nutcracker and the Four Realms,2018,02 Nov 2018,99 min,"Adventure, Family, Fantasy",1 win & 8 nominations,39,5.6,"35,189",tt5523010,"$54,858,851","English, French"
Nobody's Fool,1994,13 Jan 1995,110 min,"Comedy, Drama",Nominated for 2 Oscars. 5 wins & 10 nominations total,86,7.3,"21,441",tt0110684,"$39,491,975",English
Boy Erased,2018,08 Nov 2018,115 min,"Biography, Drama",12 wins & 51 nominations,69,6.9,"39,932",tt7008872,"$6,788,692",English
A Private War,2018,16 Nov 2018,110 min,"Biography, Drama, War",2 wins & 10 nominations,75,6.7,"19,975",tt2368254,"$1,633,208",English
Bodied,2017,02 Nov 2018,120 min,"Comedy, Drama, Music",5 wins & 1 nomination,75,7.1,"5,813",tt5883570,"$113,956",English
The Front Runner,2018,21 Nov 2018,113 min,"Biography, Drama, History",1 win & 5 nominations,61,6.1,"13,652",tt7074886,"$2,000,105",English
The Grinch,2018,09 Nov 2018,85 min,"Animation, Comedy, Family",1 win & 18 nominations,51,6.4,"77,390",tt2709692,"$271,384,731",English
The Girl in the Spider's Web,2018,09 Nov 2018,115 min,"Action, Crime, Drama",1 win & 7 nominations,43,6.1,"49,150",tt5177088,"$14,841,338",English
Overlord,2018,09 Nov 2018,110 min,"Action, Horror, Sci-Fi",2 wins & 7 nominations,60,6.6,"101,881",tt4530422,"$21,704,844","English, German, French"
The Ballad of Buster Scruggs,2018,09 Nov 2018,133 min,"Comedy, Drama, Musical",Nominated for 3 Oscars. 7 wins & 42 nominations total,79,7.3,"153,067",tt6412452,N/A,"English, French"
Lazer Team 2,2017,13 Nov 2017,86 min,"Action, Comedy, Sci-Fi",N/A,N/A,6.4,"3,567",tt6730898,N/A,English
Conundrum: Secrets Among Friends,2023,29 Dec 2023,112 min,"Drama, Thriller",N/A,N/A,N/A,N/A,tt7251692,N/A,English
Fantastic Beasts: The Crimes of Grindelwald,2018,16 Nov 2018,134 min,"Adventure, Family, Fantasy",Nominated for 2 BAFTA 3 wins & 23 nominations total,52,6.5,"291,169",tt4123430,"$159,555,901","English, French"
Widows,2018,16 Nov 2018,129 min,"Crime, Drama, Thriller",Nominated for 1 BAFTA Award18 wins & 106 nominations total,84,6.8,"100,227",tt4218572,"$42,402,632","English, Spanish, Polish"
Green Book,2018,16 Nov 2018,130 min,"Biography, Comedy, Drama",Won 3 Oscars. 59 wins & 124 nominations total,69,8.2,"510,749",tt6966692,"$85,080,171","English, Italian, Russian, German"
Instant Family,2018,16 Nov 2018,118 min,"Comedy, Drama",3 wins & 5 nominations,57,7.3,"110,866",tt7401588,"$67,363,237","English, Spanish"
Ralph Breaks the Internet,2018,23 Nov 2018,112 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 3 wins & 67 nominations total,71,7.0,"167,223",tt5848272,"$201,091,711",English
Creed II,2018,21 Nov 2018,130 min,"Action, Drama, Sport",1 win & 12 nominations,66,7.1,"139,882",tt6343314,"$115,715,889","English, Russian, Sign "
Robin Hood,2010,14 May 2010,140 min,"Action, Adventure, Drama",1 win & 14 nominations,53,6.6,"273,966",tt0955308,"$105,269,730","English, French, Ukrainian"
Roma,2018,14 Dec 2018,135 min,Drama,Won 3 Oscars. 252 wins & 219 nominations total,96,7.7,"162,589",tt6155172,N/A,"Spanish, Mixtec, English, Japanese, German, French, Norwegian"
The Favourite,2018,21 Dec 2018,119 min,"Biography, Comedy, Drama",Won 1 Oscar. 185 wins & 349 nominations total,91,7.5,"206,264",tt5083738,"$34,366,783",English
Mowgli: Legend of the Jungle,2018,07 Dec 2018,104 min,"Adventure, Drama, Fantasy",7 nominations,51,6.5,"63,529",tt2388771,N/A,"English, Hindi"
The Possession of Hannah Grace,2018,30 Nov 2018,86 min,"Horror, Mystery, Thriller",3 nominations,37,5.2,"24,044",tt5734576,"$14,837,422",English
Anna and the Apocalypse,2017,30 Nov 2018,93 min,"Comedy, Horror, Musical",9 wins & 12 nominations,63,6.0,"14,359",tt6433880,"$545,597",English
Capernaum,2018,20 Sep 2018,126 min,Drama,Nominated for 1 Oscar. 38 wins & 55 nominations total,75,8.4,"93,402",tt8267604,"$1,661,096","Arabic, Amharic"
The Cabin,2018,04 Dec 2018,86 min,"Horror, Mystery, Thriller",N/A,N/A,2.8,597,tt5963066,N/A,English
Mary Queen of Scots,2018,21 Dec 2018,124 min,"Biography, Drama, History",Nominated for 2 Oscars. 8 wins & 32 nominations total,60,6.3,"52,375",tt2328900,"$16,468,499","English, French, Gaelic, Latin"
Ben Is Back,2018,05 Dec 2018,103 min,Drama,3 wins & 13 nominations,66,6.7,"22,907",tt7545524,"$3,703,184",English
Spider-Man: Into the Spider-Verse,2018,14 Dec 2018,117 min,"Animation, Action, Adventure",Won 1 Oscar. 82 wins & 57 nominations total,87,8.4,"552,354",tt4633694,"$190,241,310","English, Spanish"
Mortal Engines,2018,14 Dec 2018,128 min,"Action, Adventure, Fantasy",3 wins & 2 nominations,44,6.1,"129,877",tt1571234,"$15,951,040",English
The Mule,2018,14 Dec 2018,116 min,"Crime, Drama, Thriller",1 win & 10 nominations,58,7.0,"141,580",tt7959026,"$103,804,407","English, Spanish"
If Beale Street Could Talk,2018,25 Dec 2018,119 min,"Drama, Romance",Won 1 Oscar. 107 wins & 191 nominations total,87,7.1,"50,382",tt7125860,"$14,915,773","English, Spanish"
Mary Poppins Returns,2018,19 Dec 2018,130 min,"Adventure, Comedy, Family",Nominated for 4 Oscars. 23 wins & 112 nominations total,66,6.7,"90,625",tt5028340,"$171,958,438",English
Aquaman,2018,21 Dec 2018,143 min,"Action, Adventure, Fantasy",2 wins & 38 nominations,55,6.8,"485,891",tt1477834,"$335,104,314","English, Russian, Maori, Italian"
Bumblebee,2018,21 Dec 2018,114 min,"Action, Adventure, Sci-Fi",2 wins & 13 nominations,66,6.7,"171,500",tt4701182,"$127,195,589",English
Welcome to Marwen,2018,21 Dec 2018,116 min,"Biography, Comedy, Drama",2 wins & 8 nominations,40,6.2,"24,751",tt3289724,"$10,763,520","English, German, French, Russian"
Second Act,2018,21 Dec 2018,103 min,"Comedy, Drama, Romance",2 wins & 1 nomination,46,5.8,"28,673",tt2126357,"$39,282,227","English, Mandarin"
Cold War,2018,08 Jun 2018,89 min,"Drama, Music, Romance",Nominated for 3 Oscars. 50 wins & 127 nominations total,90,7.5,"59,055",tt6543652,"$4,580,048","Polish, French, Croatian, German, Russian, Serbian, Italian"
Sherlock Holmes: A Game of Shadows,2011,16 Dec 2011,129 min,"Action, Adventure, Mystery",3 wins & 11 nominations,48,7.4,"463,400",tt1515091,"$186,848,418","English, French, Italian, German, Romany"
Vice,2018,25 Dec 2018,132 min,"Biography, Comedy, Drama",Won 1 Oscar. 35 wins & 139 nominations total,61,7.2,"152,458",tt6266538,"$47,836,282","English, Arabic"
On the Basis of Sex,2018,11 Jan 2019,120 min,"Biography, Drama",4 wins & 12 nominations,59,7.1,"35,843",tt4669788,"$24,704,837",English
Destroyer,2018,27 Dec 2018,121 min,"Action, Crime, Drama",3 wins & 20 nominations,62,6.2,"30,499",tt7137380,"$1,533,324",English
Black Mirror: Bandersnatch,2018,28 Dec 2018,90 min,"Drama, Fantasy, Mystery",Won 1 Primetime Emmy. 5 wins & 10 nominations total,N/A,7.1,"129,427",tt9495224,N/A,English
Escape Room,2019,04 Jan 2019,99 min,"Action, Adventure, Horror",1 win & 7 nominations,48,6.4,"127,885",tt5886046,"$57,005,601",English
Rust Creek,2018,04 Jan 2019,108 min,"Crime, Drama, Thriller",9 wins,59,5.9,"12,284",tt6610158,N/A,English
American Hangman,2019,04 Jan 2019,99 min,Thriller,1 nomination,38,5.9,"3,635",tt8975028,N/A,English
A Dog's Way Home,2019,11 Jan 2019,96 min,"Adventure, Drama, Family",2 wins,50,6.7,"18,840",tt7616798,"$42,004,346",English
The Upside,2017,11 Jan 2019,126 min,"Comedy, Drama",2 wins & 3 nominations,46,7.0,"58,347",tt1987680,"$108,252,517","English, German, Italian"
Replicas,2018,11 Jan 2019,107 min,"Drama, Sci-Fi, Thriller",1 nomination,19,5.4,"39,888",tt4154916,"$4,046,429",English
After Darkness,2014,15 Jan 2019,98 min,"Drama, Sci-Fi, Thriller",N/A,N/A,3.7,"1,170",tt2728784,N/A,English
Glass,2019,18 Jan 2019,129 min,"Drama, Horror, Sci-Fi",2 wins & 15 nominations,43,6.6,"251,081",tt6823368,"$111,048,468","English, Spanish"
Close,2019,18 Jan 2019,94 min,"Action, Drama, Thriller",1 nomination,51,5.7,"25,739",tt5316540,N/A,"Arabic, French, English"
The Standoff at Sparrow Creek,2018,18 Jan 2019,88 min,"Crime, Drama, Thriller",1 win & 1 nomination,62,6.1,"4,299",tt5304996,N/A,English
The Final Wish,2018,24 Jan 2019,95 min,Horror,N/A,N/A,4.3,"6,857",tt9109306,"$25,183",English
The Kid Who Would Be King,2019,25 Jan 2019,120 min,"Action, Adventure, Family",2 wins & 4 nominations,66,6.1,"17,580",tt6811018,"$16,790,790",English
Serenity,2005,30 Sep 2005,119 min,"Action, Adventure, Sci-Fi",9 wins & 10 nominations,74,7.8,"299,033",tt0379786,"$25,514,517","English, Mandarin"
I Am Mother,2019,07 Jun 2019,113 min,"Drama, Mystery, Sci-Fi",4 wins & 6 nominations,64,6.7,"93,924",tt6292852,N/A,English
The Vast of Night,2019,29 May 2020,91 min,"Drama, Mystery, Sci-Fi",12 wins & 44 nominations,84,6.7,"41,055",tt6803046,N/A,English
Miss Bala,2019,01 Feb 2019,104 min,"Action, Crime, Drama",N/A,41,5.8,"11,895",tt5941692,"$15,006,824","English, Spanish"
Velvet Buzzsaw,2019,01 Feb 2019,113 min,"Horror, Mystery, Thriller",1 win & 3 nominations,61,5.7,"63,041",tt7043012,N/A,"English, Chinese, Italian"
Piercing,2018,01 Feb 2019,81 min,"Horror, Mystery, Thriller",4 wins & 8 nominations,63,5.5,"8,085",tt6516314,"$15,856","English, Portuguese"
The Lego Movie 2: The Second Part,2019,08 Feb 2019,107 min,"Animation, Action, Adventure",1 win & 16 nominations,65,6.6,"69,831",tt3513498,"$105,956,290",English
What Men Want,2019,08 Feb 2019,117 min,"Comedy, Fantasy, Romance",1 win,49,5.3,"28,735",tt7634968,"$54,611,903","English, Mandarin"
Cold Pursuit,2019,08 Feb 2019,119 min,"Action, Comedy, Crime",3 nominations,57,6.2,"71,886",tt5719748,"$32,138,862","English, Vietnamese, Shoshoni"
High Flying Bird,2019,08 Feb 2019,90 min,"Drama, Sport",7 nominations,78,6.2,"8,915",tt8128188,N/A,English
The Prodigy,2019,08 Feb 2019,92 min,"Fantasy, Horror, Mystery",1 win & 1 nomination,45,5.9,"27,203",tt4504044,"$14,856,291","English, Hungarian"
Isn't It Romantic,2019,13 Feb 2019,89 min,"Comedy, Fantasy, Musical",1 win & 10 nominations,60,5.9,"71,456",tt2452244,"$48,791,187","English, Italian"
Happy Death Day 2U,2019,13 Feb 2019,100 min,"Comedy, Horror, Mystery",4 nominations,57,6.2,"78,223",tt8155288,"$28,148,130","English, French"
Alita: Battle Angel,2019,14 Feb 2019,122 min,"Action, Adventure, Sci-Fi",10 wins & 25 nominations,53,7.3,"276,053",tt0437086,"$85,838,210","English, Spanish"
How to Train Your Dragon: The Hidden World,2019,22 Feb 2019,104 min,"Animation, Action, Adventure",Nominated for 1 Oscar. 5 wins & 65 nominations total,71,7.4,"135,406",tt2386490,"$160,945,505",English
Fighting with My Family,2019,22 Feb 2019,108 min,"Biography, Comedy, Drama",10 wins & 5 nominations,68,7.1,"83,517",tt6513120,"$22,958,886",English
Greta,2018,01 Mar 2019,98 min,"Drama, Mystery, Thriller",2 wins & 4 nominations,54,6.0,"35,338",tt2639336,"$10,532,219","English, Hungarian, French, Korean"
Triple Frontier,2019,13 Mar 2019,125 min,"Action, Thriller",3 nominations,61,6.4,"134,346",tt1488606,N/A,"English, Spanish, Portuguese"
Captain Marvel,2019,08 Mar 2019,123 min,"Action, Adventure, Sci-Fi",9 wins & 56 nominations,64,6.8,"573,246",tt4154664,"$426,829,839",English
The Kid,1921,06 Feb 1921,68 min,"Comedy, Drama, Family",2 wins,N/A,8.3,"128,174",tt0012349,N/A,English
Wonder Park,2019,15 Mar 2019,85 min,"Animation, Adventure, Comedy",2 nominations,45,5.8,"12,228",tt6428676,"$45,216,793","English, French"
Captive State,2019,15 Mar 2019,109 min,"Action, Horror, Sci-Fi",2 nominations,54,6.0,"55,427",tt5968394,"$5,958,315",English
Nancy Drew and the Hidden Staircase,2019,26 Mar 2019,89 min,"Comedy, Crime, Drama",1 nomination,55,5.7,"5,075",tt8323104,"$623,088",English
The Aftermath,2019,15 Mar 2019,108 min,"Drama, Romance, War",1 nomination,43,6.3,"22,097",tt5977276,"$1,618,497","English, German, Russian"
Five Feet Apart,2019,15 Mar 2019,116 min,"Drama, Romance",3 wins & 8 nominations,53,7.2,"72,179",tt6472976,"$45,729,221","English, French"
The Highwaymen,2019,29 Mar 2019,132 min,"Biography, Crime, Drama",3 nominations,58,6.9,"95,195",tt1860242,N/A,"English, Spanish"
Red 11,2018,10 Aug 2018,86 min,"Horror, Sci-Fi, Thriller",1 nomination,N/A,4.9,484,tt7837402,N/A,English
Never Grow Old,2019,27 Dec 2019,100 min,"Drama, Western",3 wins & 3 nominations,65,6.0,"4,343",tt1158939,N/A,"English, Italian"
Triple Threat,2019,22 Mar 2019,96 min,"Action, Thriller",N/A,60,5.6,"11,790",tt6643972,"$76,289","English, Mandarin, Thai"
Us,2019,22 Mar 2019,116 min,"Horror, Mystery, Thriller",85 wins & 132 nominations,81,6.8,"310,670",tt6857112,"$175,084,580",English
Hotel Mumbai,2018,29 Mar 2019,123 min,"Action, Drama, History",9 wins & 27 nominations,62,7.6,"66,401",tt5461944,"$9,651,611","Hindi, English, Russian, Persian"
The Dirt,2019,22 Mar 2019,107 min,"Biography, Comedy, Drama",1 win,39,7.0,"51,829",tt0800325,N/A,English
Dragged Across Concrete,2018,22 Mar 2019,159 min,"Action, Crime, Drama",5 nominations,60,6.9,"49,564",tt6491178,N/A,"English, Spanish"
Dumbo,1941,31 Oct 1941,64 min,"Animation, Adventure, Drama",Won 1 Oscar. 5 wins & 1 nomination total,96,7.2,"135,495",tt0033563,N/A,English
The Beach Bum,2019,29 Mar 2019,95 min,Comedy,1 win & 7 nominations,55,5.5,"23,412",tt6511932,"$3,502,600","English, Spanish"
Unplanned,2019,29 Mar 2019,109 min,"Biography, Drama",6 wins & 3 nominations,10,5.5,"14,232",tt9024106,"$19,005,109",English
Shazam!,2019,05 Apr 2019,132 min,"Action, Adventure, Comedy",28 nominations,71,7.0,"351,832",tt0448115,"$140,480,049","English, Spanish"
Pet Sematary,1989,21 Apr 1989,103 min,"Fantasy, Horror, Thriller",1 win & 6 nominations,38,6.5,"108,205",tt0098084,"$57,469,467",English
The Best of Enemies,2019,05 Apr 2019,133 min,"Biography, Drama, History",5 nominations,49,7.3,"17,864",tt4807408,"$10,205,616","English, Latin"
High Life,2018,12 Apr 2019,113 min,"Adventure, Drama, Horror",5 wins & 25 nominations,78,5.8,"37,656",tt4827558,"$1,225,852",English
Unicorn Store,2017,05 Apr 2019,92 min,"Comedy, Drama, Fantasy",2 nominations,44,5.6,"19,958",tt2338454,N/A,English
The Haunting of Sharon Tate,2019,05 Apr 2019,94 min,"Drama, Horror, Thriller",4 wins & 4 nominations,8,2.9,"4,218",tt7976208,N/A,English
The Wind,2018,05 Apr 2019,88 min,"Horror, Mystery, Thriller",1 win & 6 nominations,66,5.6,"8,777",tt8426594,"$28,252",English
The Silence,2019,10 Apr 2019,90 min,"Drama, Horror, Sci-Fi",N/A,25,5.3,"47,288",tt7315484,N/A,"English, American Sign "
Hellboy,2004,02 Apr 2004,122 min,"Action, Adventure, Fantasy",3 wins & 23 nominations,72,6.8,"336,246",tt0167190,"$59,623,958","English, Russian, German, Latin"
Little Miss Sunshine,2006,18 Aug 2006,101 min,"Comedy, Drama",Won 2 Oscars. 72 wins & 112 nominations total,80,7.8,"492,372",tt0449059,"$59,891,098",English
Missing Link,2019,12 Apr 2019,93 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 5 wins & 44 nominations total,68,6.7,"27,341",tt6348138,"$16,649,539","English, Spanish, Tibetan"
After,2019,12 Apr 2019,105 min,"Drama, Romance",4 wins,30,5.3,"58,284",tt4126476,"$12,138,565",English
Her Smell,2018,10 May 2019,136 min,"Drama, Music",4 wins & 30 nominations,70,6.0,"7,652",tt7942742,"$255,599",English
Breakthrough,2019,17 Apr 2019,116 min,"Biography, Drama",Nominated for 1 Oscar. 2 wins & 11 nominations total,46,6.2,"10,317",tt7083526,"$40,713,082",English
Penguins,2019,17 Apr 2019,76 min,"Documentary, Family",1 win & 1 nomination,69,7.1,"1,756",tt8080302,"$7,699,452",English
The Curse of La Llorona,2019,19 Apr 2019,93 min,"Horror, Mystery, Thriller",1 win & 7 nominations,41,5.2,"52,558",tt4913966,"$54,733,739","English, Spanish"
Under the Silver Lake,2018,19 Apr 2019,139 min,"Crime, Drama, Mystery",3 wins & 10 nominations,60,6.5,"45,318",tt5691670,"$46,083",English
Fast Color,2018,19 Apr 2019,100 min,"Drama, Sci-Fi, Thriller",1 win & 7 nominations,64,6.1,"6,648",tt6418778,"$76,916",English
Someone Great,2019,19 Apr 2019,92 min,"Comedy, Romance",N/A,63,6.1,"23,678",tt8075260,N/A,English
I Spit on Your Grave: Deja Vu,2019,23 Apr 2019,148 min,"Horror, Thriller",N/A,N/A,2.4,"3,066",tt4058836,N/A,English
Avengers: Endgame,2019,26 Apr 2019,181 min,"Action, Adventure, Drama",Nominated for 1 Oscar. 70 wins & 133 nominations total,78,8.4,"1,162,856",tt4154796,"$858,373,000","English, Japanese, Xhosa, German"
I Trapped the Devil,2019,26 Apr 2019,82 min,"Crime, Drama, Fantasy",2 nominations,47,4.8,"2,886",tt8708304,N/A,English
Body at Brighton Rock,2019,26 Apr 2019,87 min,"Comedy, Drama, Fantasy",2 nominations,53,4.8,"2,381",tt7942746,"$5,123",English
Buffaloed,2019,01 Jun 2020,95 min,"Comedy, Drama",1 win,61,6.2,"6,643",tt8647310,"$29,118",English
Long Shot,2019,03 May 2019,125 min,"Comedy, Romance",5 wins & 13 nominations,67,6.8,"114,267",tt2139881,"$30,316,271","English, Swedish, French, Vietnamese, Russian, Hebrew"
The Intruder,2019,03 May 2019,102 min,"Horror, Thriller",N/A,39,5.6,"18,683",tt6722030,"$35,419,122",English
UglyDolls,2019,03 May 2019,87 min,"Animation, Adventure, Comedy",1 win & 1 nomination,39,5.1,"7,171",tt1946502,"$20,150,241",English
"Extremely Wicked, Shockingly Evil and Vile",2019,03 May 2019,110 min,"Biography, Crime, Drama",5 wins & 5 nominations,52,6.7,"96,807",tt2481498,N/A,English
The Last Summer,2019,03 May 2019,109 min,"Comedy, Romance",3 nominations,N/A,5.5,"13,671",tt7957694,N/A,English
Pokémon: Detective Pikachu,2019,10 May 2019,104 min,"Action, Adventure, Comedy",10 nominations,53,6.5,"168,450",tt5884052,"$144,174,568","English, Japanese"
The Hustle,2019,10 May 2019,93 min,"Comedy, Crime",3 wins & 3 nominations,35,5.4,"62,145",tt1298644,"$35,417,038","English, German, Dutch, Danish, French, American Sign "
Tolkien,2019,10 May 2019,112 min,"Biography, Drama, Romance",N/A,48,6.8,"42,781",tt3361792,"$4,535,154","English, Middle English, Old English, Latin, German"
Poms,2019,10 May 2019,90 min,"Comedy, Drama, Sport",2 nominations,36,6.1,"6,650",tt5125894,"$13,631,124",English
The Professor and the Madman,2019,10 May 2019,124 min,"Biography, Drama, History",1 nomination,27,7.2,"47,798",tt5932728,N/A,English
