Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
Red Sparrow,2018,02 Mar 2018,140 min,"Action, Drama, Thriller",3 wins & 9 nominations,53,6.6,"191,207",tt2873282,"$46,874,505","English, Russian, Hungarian"
Death Wish,2018,02 Mar 2018,107 min,"Action, Crime, Drama",4 nominations,31,6.3,"73,701",tt1137450,"$34,017,028","English, Spanish"
The Vanishing of Sidney Hall,2017,02 Mar 2018,119 min,"Drama, Mystery, Romance",N/A,18,6.8,"11,273",tt1291566,N/A,English
Foxtrot,2017,21 Sep 2017,113 min,Drama,21 wins & 25 nominations,88,7.2,"7,780",tt6896536,"$618,883","Hebrew, German"
Pickings,2018,03 Aug 2018,103 min,"Action, Crime, Drama",9 wins & 15 nominations,N/A,5.1,"1,076",tt4789822,N/A,English
A Wrinkle in Time,2018,09 Mar 2018,109 min,"Adventure, Family, Fantasy",5 wins & 16 nominations,53,4.2,"46,059",tt1620680,"$100,478,608",English
Gringo,2018,09 Mar 2018,111 min,"Action, Comedy, Crime",2 nominations,46,6.1,"31,068",tt3721964,"$4,969,853","English, Spanish, French, Yoruba"
Thoroughbreds,2017,09 Mar 2018,92 min,"Comedy, Crime, Drama",1 win & 25 nominations,75,6.6,"44,601",tt5649108,"$3,072,605",English
The Death of Stalin,2017,09 Mar 2018,107 min,"Comedy, Drama, History",Nominated for 2 BAFTA 18 wins & 40 nominations total,88,7.2,"105,851",tt4686844,"$8,047,856",English
The Leisure Seeker,2017,03 Jan 2018,112 min,"Adventure, Comedy, Drama",3 wins & 11 nominations,45,6.7,"9,220",tt3741632,"$3,226,443",English
The Strangers: Prey at Night,2018,09 Mar 2018,85 min,Horror,N/A,48,5.2,"32,389",tt1285009,"$24,586,708",English
The Hurricane Heist,2018,09 Mar 2018,103 min,"Action, Adventure, Crime",N/A,35,5.1,"21,418",tt5360952,"$6,115,825","American Sign , English"
Tomb Raider,2018,16 Mar 2018,119 min,"Action, Adventure, Fantasy",8 nominations,48,6.3,"218,447",tt1365519,"$58,250,803","English, Cantonese, Hindi"
"Love, Simon",2018,16 Mar 2018,110 min,"Comedy, Drama, Romance",9 wins & 28 nominations,72,7.5,"118,357",tt5164432,"$40,826,341","English, German, French"
I Can Only Imagine,2018,16 Mar 2018,110 min,"Biography, Drama, Family",6 wins & 5 nominations,30,7.3,"16,803",tt6450186,"$83,482,352",English
7 Days in Entebbe,2018,16 Mar 2018,107 min,"Action, Drama, History",N/A,49,5.9,"16,325",tt5466186,"$3,326,885","English, German, French, Hebrew, Arabic"
