Title,Director
Raat Akeli Hai,31-Jul-20
Work It,7-Aug-20
Gunjan Saxena: The Kargil Girl,12-Aug-20
Project Power,14-Aug-20
Fearless,14-Aug-20
Crazy Awesome Teachers,17-Aug-20
The Crimes That Bind,20-Aug-20
The Sleepover,21-Aug-20
Class of '83,21-Aug-20
Dark Forces,21-Aug-20
All Together Now,28-Aug-20
Unknown Origins,28-Aug-20
Freaks – You're One of Us,2-Sep-20
"Love, Guaranteed",3-Sep-20
I'm Thinking of Ending Things,4-Sep-20
The Babysitter: Killer Queen,10-Sep-20
Dad Wanted,11-Sep-20
The Devil All The Time,16-Sep-20
The Paramedic,16-Sep-20
Dolly Kitty Aur Woh Chamakte Sitare,18-Sep-20
Whipped,18-Sep-20
The Boys in the Band,30-Sep-20
All Because of You,1-Oct-20
Òlòtūré,2-Oct-20
Serious Men,2-Oct-20
The Binding,2-Oct-20
Vampires vs. the Bronx,2-Oct-20
You've Got This,2-Oct-20
Hubie Halloween,7-Oct-20
Ginny Weds Sunny,9-Oct-20
The Forty-Year-Old Version,9-Oct-20
A Babysitter's Guide to Monster Hunting,15-Oct-20
Love Like the Falling Rain,15-Oct-20
The Trial of the Chicago 7,16-Oct-20
Rebecca,21-Oct-20
Cadaver,22-Oct-20
Over the Moon,23-Oct-20
Holidate,28-Oct-20
Nobody Sleeps in the Woods Tonight,28-Oct-20
His House,30-Oct-20
Kaali Khuhi,30-Oct-20
Rogue City,30-Oct-20
The Day of the Lord,30-Oct-20
Operation Christmas Drop,5-Nov-20
Citation,6-Nov-20
What We Wanted,11-Nov-20
Ludo,12-Nov-20
Jingle Jangle: A Christmas Journey,13-Nov-20
The Life Ahead,13-Nov-20
The Princess Switch: Switched Again,19-Nov-20
Christmas on the Square,22-Nov-20
Hillbilly Elegy,24-Nov-20
Notes for My Son,24-Nov-20
The Christmas Chronicles: Part Two,25-Nov-20
The Beast,27-Nov-20
The Call,27-Nov-20
Finding Agnes,30-Nov-20
Just Another Christmas,3-Dec-20
Christmas Crossfire,4-Dec-20
Leyla Everlasting,4-Dec-20
Mank,4-Dec-20
The Claus Family,7-Dec-20
Rose Island,9-Dec-20
The Prom,11-Dec-20
A California Christmas,14-Dec-20
Ma Rainey's Black Bottom,18-Dec-20
The Midnight Sky,23-Dec-20
AK vs AK,24-Dec-20
We Can Be Heroes,25-Dec-20
What Happened to Mr. Cha?,1-Jan-21
Pieces of a Woman,8-Jan-21
Stuck Apart,8-Jan-21
The Heartbreak Club,14-Jan-21
Double Dad,15-Jan-21
Outside the Wire,15-Jan-21
Tribhanga – Tedhi Medhi Crazy,15-Jan-21
The White Tiger,22-Jan-21
June & Kopi,28-Jan-21
Finding ʻOhana,29-Jan-21
The Dig,29-Jan-21
Below Zero,29-Jan-21
The Last Paradiso,5-Feb-21
Malcolm & Marie,5-Feb-21
Space Sweepers,5-Feb-21
The Misadventures of Hedi and Cokeman,10-Feb-21
Red Dot,11-Feb-21
Squared Love,11-Feb-21
To All the Boys: Always and Forever,12-Feb-21
Geez & Ann,25-Feb-21
Crazy About Her,26-Feb-21
The Girl on the Train,26-Feb-21
Moxie,3-Mar-21
Sentinelle,5-Mar-21
Yes Day,12-Mar-21
Paper Lives,12-Mar-21
Get the Goat,18-Mar-21
Caught by a Wave,25-Mar-21
A Week Away,26-Mar-21
Bad Trip,26-Mar-21
Pagglait,26-Mar-21
Tersanjung the Movie,1-Apr-21
Concrete Cowboy,2-Apr-21
Just Say Yes,2-Apr-21
Madame Claude,2-Apr-21
Have You Ever Seen Fireflies?,9-Apr-21
Night in Paradise,9-Apr-21
Thunder Force,9-Apr-21
Prime Time,14-Apr-21
Ride or Die,15-Apr-21
Ajeeb Daastaans,16-Apr-21
Arlo the Alligator Boy,16-Apr-21
Get the Grift,28-Apr-21
Things Heard & Seen,29-Apr-21
The Disciple,30-Apr-21
Milestone,7-May-21
Monster,7-May-21
Oxygen,12-May-21
Ferry,14-May-21
I Am All Girls,14-May-21
The Woman in the Window,14-May-21
Sardar Ka Grandson,18-May-21
Army of the Dead,21-May-21
Baggio: The Divine Ponytail,26-May-21
Ghost Lab,26-May-21
Blue Miracle,27-May-21
Carnaval,2-Jun-21
Dancing Queens,3-Jun-21
Sweet & Sour,4-Jun-21
Trippin' with the Kandasamys,4-Jun-21
Xtreme,4-Jun-21
Awake,9-Jun-21
Tragic Jungle,9-Jun-21
Skater Girl,11-Jun-21
Ali & Ratu Ratu Queens,17-Jun-21
Jagame Thandhiram,18-Jun-21
Good on Paper,23-Jun-21
America: The Motion Picture,30-Jun-21
Fear Street Part 1: 1994,2-Jul-21
The 8th Night,2-Jul-21
Haseen Dillruba,2-Jul-21
Fear Street Part 2: 1978,9-Jul-21
Last Summer,9-Jul-21
A Classic Horror Story,14-Jul-21
A Perfect Fit,15-Jul-21
My Amanda,15-Jul-21
Deep,16-Jul-21
Fear Street Part 3: 1666,16-Jul-21
Trollhunters: Rise of the Titans,21-Jul-21
Blood Red Sky,23-Jul-21
Bankrolled,23-Jul-21
Bartkowiak,28-Jul-21
Resort to Love,29-Jul-21
The Last Mercenary,30-Jul-21
The Kissing Booth 3,11-Aug-21
Beckett,13-Aug-21
Black Island,18-Aug-21
The Secret Diary of an Exchange Student,18-Aug-21
Sweet Girl,20-Aug-21
The Loud House Movie,20-Aug-21
The Witcher: Nightmare of the Wolf,23-Aug-21
He's All That,27-Aug-21
